date,state,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage
20200830,NJ,38,77
20200924,CT,11,32
20200429,TN,,0
20200926,FL,255,260
20200505,VI,,0
20201007,SD,53,64
20200709,MT,,0
20200929,WV,20,63
20200729,MD,59,35
20200810,MN,31,101
20201110,VA,117,97
20201107,AL,174,112
20201018,ID,24,50
20200810,AL,76,61
20200720,IN,37,49
20200720,MT,6,14
20200406,VA,,0
20200607,IA,,0
20200706,NJ,,0
20200616,MA,,0
20200610,WI,,0
20201119,WI,473,149
20200630,CO,,0
20201121,MN,210,140
20200818,KY,379,107
20200618,NE,1,14
20200514,MT,,0
20200609,HI,0,11
20201117,TX,1261,586
20201031,SD,62,65
20200719,DE,2,4
20201102,AL,166,106
20200719,AZ,143,69
20201202,NH,32,30
20200707,PR,,0
20200724,SC,181,54
20200602,AK,,0
20200927,MA,40,102
20200519,NC,,0
20200723,GA,241,84
20200805,MI,33,132
20200406,GA,,0
20200601,NM,,0
20200725,KS,33,81
20200528,VI,,0
20200401,WV,,0
20200924,KY,133,114
20201111,KY,332,124
20200404,MS,,0
20200501,GA,,0
20200423,NM,,0
20201023,TX,783,585
20200412,SD,,0
20200513,IA,10,40
20200802,SD,6,37
20200507,NE,,0
20200711,ME,0,1
20200911,FL,281,260
20200329,ND,,0
20200409,CO,,0
20201023,MS,80,107
20200724,CA,744,304
20200525,IA,8,27
20200613,ME,,0
20201020,VA,71,105
20200524,ND,,0
20200321,MN,,0
20200402,UT,,0
20201121,LA,142,215
20200624,AZ,16,12
20201010,PR,17,65
20200414,MO,,0
20201023,MA,60,103
20200617,NV,,0
20200730,KY,161,97
20200629,CT,,0
20200726,NV,0,61
20201106,NC,161,130
20200721,OK,107,66
20201001,NV,38,60
20200501,MO,,0
20201006,VT,2,17
20200619,DC,,0
20200615,NY,0,1
20200823,AL,97,85
20200601,MI,,0
20200622,NY,0,1
20200928,NY,220,175
20200803,ME,5,28
20200428,NV,,0
20200812,TX,644,541
20201104,VA,83,108
20201109,AL,177,106
20200927,MS,54,101
20200826,ND,5,47
20200624,DE,,0
20200604,HI,0,11
20200618,VA,,0
20200919,CT,17,32
20201124,UT,95,53
20201130,NC,201,122
20200620,ME,,0
20201107,NC,149,130
20201004,IN,90,149
20201017,MA,42,103
20201009,ID,21,50
20200731,NM,16,18
20200512,ID,,0
20201017,NM,32,52
20200429,MS,,0
20201105,SD,76,65
20200629,SC,,0
20200704,PR,,0
20200405,MT,,0
20201110,AK,18,22
20200401,GA,,0
20200324,CO,,0
20201119,LA,164,214
20200718,MT,7,14
20200314,MI,,0
20200709,ID,,0
20200809,KY,162,98
20200410,RI,0,1
20200817,WI,65,136
20201022,IN,173,160
20201006,SC,74,82
20201118,TX,1149,585
20200524,MA,,0
20200506,ND,,0
20200615,VT,,0
20201021,RI,14,15
20200815,DC,11,13
20200708,CO,,0
20201124,IL,655,194
20200918,OK,115,137
20200613,WA,,0
20200328,MT,,0
20201101,RI,8,15
20200628,NJ,,0
20200624,RI,0,1
20200826,IL,134,189
20200821,TX,479,550
20200618,AZ,,0
20200813,MN,40,127
20200828,OK,86,129
20201024,WI,329,144
20200410,NC,,0
20200421,WI,,0
