previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
,,,0,0,0,IN20200630,20200630,IN,273,97,2448
40,197,74,131,93,81,KS20200817,20200817,KS,62,24,405
163,772,182,122,122,122,IA20201103,20201103,IA,182,63,1765
,,,0,0,0,TX20200711,20200711,TX,nan,,3112
,,,0,0,0,WA20200629,20200629,WA,nan,50,1320
269,1808,374,140,140,140,MN20201119,20201119,MN,367,,3082
606,5190,1119,190,190,190,IL20201123,20201123,IL,1206,635,11552
44,250,52,32,31,31,CT20201024,20201024,CT,nan,,4577
,,,0,0,0,MI20200714,20200714,MI,190,109,6081
,,,0,0,0,WI20200513,20200513,WI,121,,421
,,,0,0,0,MT20200414,20200414,MT,nan,,7
666,5140,1092,200,200,200,IL20201118,20201118,IL,1146,547,11014
0,26,4,3,44,22,NE20200604,20200604,NE,nan,,186
159,765,232,211,202,199,OH20201005,20201005,OH,202,94,4931
9,91,23,14,14,11,DC20200819,20200819,DC,30,14,600
,,,0,0,0,MN20200701,20200701,MN,125,,1445
153,1024,183,125,125,125,IA20201108,20201108,IA,184,82,1843
,,,0,0,0,KS20200310,,,,,
,,,0,0,0,KS20200411,20200411,KS,2,7,55
1055,7514,2070,589,589,589,TX20201115,20201115,TX,nan,,19559
,,,0,0,0,UT20200315,,,,,
,,,0,0,0,CA20200621,20200621,CA,1163,,5495
,,,0,0,0,DC20200601,20200601,DC,108,67,468
261,2073,514,225,225,225,PA20201108,20201108,PA,nan,167,9020
0,40,0,2,2,2,PR20200725,,,,,
,,,0,0,0,WI20200329,20200329,WI,nan,,13
96,488,128,54,54,54,MD20201027,20201027,MD,105,,3962
27,357,65,60,67,60,NJ20200803,20200803,NJ,126,53,13971
0,0,0,1,1,1,RI20200330,20200330,RI,nan,,4
62,516,318,108,124,121,IN20200812,20200812,IN,295,84,2878
87,415,70,63,64,64,PR20201111,,,,,
,,,0,0,0,MI20200513,20200513,MI,653,515,4714
,,,0,0,0,ID20200605,20200605,ID,8,,83
,,,0,0,0,MN20200426,20200426,MN,115,,272
,,,0,0,0,CA20200311,20200311,CA,nan,,
191,409,71,65,65,65,PR20201116,,,,,
33,232,73,122,122,122,IA20200722,20200722,IA,73,32,812
164,1524,274,214,221,221,LA20201119,20201119,LA,nan,88,6199
5,143,56,54,49,44,UT20200823,20200823,UT,58,,385
,,,0,0,0,MS20200409,20200409,MS,210,123,76
,,,0,0,0,VT20200616,20200616,VT,nan,,55
11,62,25,48,45,44,NM20200825,20200825,NM,nan,,750
,,,0,0,0,OH20200507,20200507,OH,418,281,1271
,,,0,0,0,AR20200409,20200409,AR,nan,31,21
275,1989,556,117,117,117,TN20201117,20201117,TN,537,239,3995
63,1131,176,205,214,214,LA20201023,20201023,LA,nan,65,5614
,,,0,0,0,FL20200424,20200424,FL,nan,,1046
,,,0,0,0,CO20200706,20200706,CO,nan,,1691
54,460,124,53,52,52,MD20201026,20201026,MD,112,,3953
,,,0,0,0,AL20200713,20200713,AL,nan,,1096
4,26,11,26,23,22,NH20200729,20200729,NH,nan,,411
1,5,4,2,2,2,VI20200806,,,,,
8,202,47,62,54,51,OR20201003,20201003,OR,36,16,563
,,,0,0,0,ID20200614,20200614,ID,6,,87
96,629,152,69,71,70,VA20200721,20200721,VA,258,127,2048
51,341,96,111,115,63,WI20200719,20200719,WI,99,,844
83,419,82,66,66,66,MT20201104,20201104,MT,nan,,404
,,,0,0,0,IN20200609,20200609,IN,306,114,2158
176,1825,555,92,104,90,GA20200808,20200808,GA,nan,,4186
86,1303,445,70,104,104,AL20200817,20200817,AL,nan,,1855
,,,0,0,0,DE20200701,20200701,DE,13,,509
187,1240,416,139,139,139,MO20201024,20201024,MO,481,174,2801
,,,0,0,0,VA20200403,20200403,VA,nan,,46
28,230,57,65,65,65,PR20200826,,,,,
,,,0,0,0,PA20200417,20200417,PA,nan,634,756
,,,0,0,0,UT20200530,20200530,UT,nan,,112
7,20,5,28,28,28,WY20200821,20200821,WY,nan,,37
,,,0,0,0,MN20200311,20200311,MN,nan,,
,,,0,0,0,ID20200321,,,,,
,,,0,0,0,SC20200610,20200610,SC,nan,,575
,,,0,0,0,ND20200315,,,,,
,,1,0,0,14,AK20200714,20200714,AK,nan,1,17
1,1,5,15,10,11,VT20200828,20200828,VT,nan,,58
95,540,194,53,53,53,UT20201124,20201124,UT,201,,808
5,48,10,31,30,29,CT20200814,20200814,CT,nan,,4453
469,3240,680,199,199,199,IL20201105,20201105,IL,772,343,10030
504,2139,449,148,146,146,WI20201114,20201114,WI,435,,2625
100,810,266,126,151,133,IL20200801,20200801,IL,334,148,7503
141,1781,550,90,103,90,GA20200809,20200809,GA,nan,,4199
13,50,,10,11,0,AZ20200507,20200507,AZ,288,196,450
136,968,256,196,173,153,IL20201001,20201001,IL,359,149,8696
39,380,106,95,86,81,WA20200816,20200816,WA,nan,43,1781
,,,0,0,0,OR20200401,20200401,OR,nan,,19
191,1167,312,122,122,122,NC20201110,20201110,NC,325,,4660
,,,0,0,0,NM20200612,20200612,NM,nan,,426
,,,0,0,0,IA20200325,20200325,IA,nan,,1
59,487,133,60,60,60,MD20201028,20201028,MD,114,,3969
,,,0,0,0,AL20200705,20200705,AL,nan,,984
,,,0,0,0,SD20200616,20200616,SD,nan,,77
0,0,0,1,1,1,ME20200711,20200711,ME,7,4,112
,,,0,0,0,NM20200314,,,,,
,,,0,0,0,MO20200416,20200416,MO,nan,,152
5,70,20,25,25,25,HI20201119,20201119,HI,nan,,223
104,1368,224,214,221,221,LA20201115,20201115,LA,nan,58,6132
219,41,429,242,4,241,LA20200723,20200723,LA,nan,197,3574
60,511,143,82,80,78,SC20201004,20201004,SC,153,72,3456
473,2259,474,149,149,149,WI20201119,20201119,WI,427,,2876
,,,0,0,0,KS20200703,20200703,KS,51,11,277
31,265,82,130,124,123,MN20200818,20200818,MN,96,,1721
,,,0,0,0,WA20200515,20200515,WA,90,97,992
,,,0,0,0,WI20200605,20200605,WI,124,,633
,,,0,0,0,DE20200330,20200330,DE,nan,,7
11,76,20,47,48,48,ND20200820,20200820,ND,15,,130
,,,0,0,0,MS20200530,20200530,MS,145,92,723
,,,0,0,0,VT20200423,20200423,VT,nan,,43
69,456,59,50,50,50,ND20201119,20201119,ND,34,,795
,,,0,0,0,MN20200710,20200710,MN,124,,1495
,,,0,0,0,ID20200524,20200524,ID,nan,,79
149,1433,311,182,183,182,LA20200719,20200719,LA,nan,177,3433
134,683,182,140,137,137,WI20200928,20200928,WI,173,,1283
0,0,0,1,1,1,RI20200429,20200429,RI,80,55,251
55,289,98,147,120,107,KS20200930,20200930,KS,103,33,678
0,4,1,2,2,2,VI20201012,,,,,
,35,,0,57,0,OK20200407,20200407,OK,137,,67
,,,0,0,0,VT20200330,20200330,VT,nan,,13
81,787,317,115,118,115,NC20200812,20200812,NC,311,,2249
336,2429,684,140,140,140,MO20201121,20201121,MO,647,314,3555
,,,0,0,0,MN20200507,20200507,MN,182,,508
,,,0,0,0,SC20200617,20200617,SC,nan,,617
,,,0,0,0,SD20200418,20200418,SD,nan,,7
248,1492,411,220,217,217,OH20201028,20201028,OH,416,224,5256
169,1210,370,133,131,129,TN20201014,20201014,TN,354,166,2828
705,6202,1764,336,385,361,CA20200804,20200804,CA,1892,,9501
,,,0,0,0,CO20200422,20200422,CO,nan,,508
,,,0,0,0,NE20200318,,,,,
,,,0,0,0,SD20200412,20200412,SD,nan,,6
,,,0,0,0,MT20200405,20200405,MT,nan,,6
13,149,45,50,49,46,ID20200823,20200823,ID,44,,307
,,,0,0,0,FL20200417,20200417,FL,nan,,726
6,61,14,32,31,30,CT20200827,20200827,CT,nan,,4465
,,,0,0,0,WY20200626,20200626,WY,nan,,20
0,,,13,0,0,HI20200505,20200505,HI,nan,,17
1,67,13,26,23,22,NH20200802,20200802,NH,nan,,417
,,,0,0,0,CT20200318,20200318,CT,nan,,1
,,,0,0,0,ID20200602,20200602,ID,4,,83
185,1005,367,101,101,101,TN20200717,20200717,TN,nan,,815
3,10,4,28,28,28,ME20200808,20200808,ME,4,0,125
,,,0,0,0,MI20200510,20200510,MI,685,557,4551
,,,0,0,0,MT20200707,20200707,MT,nan,,23
2,29,5,20,22,21,AK20200810,20200810,AK,nan,3,26
0,0,0,1,1,1,NY20200428,20200428,NY,4071,3338,17638
2,,,9,0,0,HI20200423,20200423,HI,nan,,12
21,173,29,67,69,65,MA20200718,20200718,MA,86,43,8419
25,200,80,100,86,80,CO20200930,20200930,CO,nan,,2051
,,,0,0,0,ME20200613,20200613,ME,10,4,100
,,,0,0,0,FL20200712,20200712,FL,nan,,4242
0,0,0,1,1,1,NY20200629,20200629,NY,216,136,24842
,,,0,0,0,CT20200419,20200419,CT,nan,,1127
,,,0,0,0,SD20200712,20200712,SD,nan,,109
,2,1,0,1,1,IA20200604,20200604,IA,100,62,581
25,92,21,30,18,13,HI20201011,20201011,HI,nan,,169
,0,0,0,2,2,PR20200724,,,,,
,,,0,0,0,ND20200514,20200514,ND,nan,,40
0,3,1,2,2,2,VI20201029,,,,,
14,63,18,47,23,22,MT20200823,20200823,MT,nan,,90
44,403,60,50,50,50,ND20201127,20201127,ND,39,,902
483,3951,949,227,227,227,PA20201122,20201122,PA,775,371,9842
,,,0,0,0,MN20200515,20200515,MN,200,,683
98,1258,451,68,104,104,AL20200815,20200815,AL,nan,,1828
76,650,167,96,96,96,WA20201117,20201117,WA,nan,87,2571
,,,0,0,0,MO20200417,20200417,MO,nan,,165
133,799,212,103,103,103,MA20201126,20201126,MA,208,108,10604
,,,0,0,0,WV20200609,20200609,WV,9,5,84
243,2238,590,262,260,258,FL20201004,20201004,FL,nan,,14671
,,,0,0,0,ND20200513,20200513,ND,nan,,40
60,566,160,100,97,97,VA20200929,20200929,VA,202,113,3187
,,,0,0,0,MN20200411,20200411,MN,69,,64
302,2075,463,164,164,164,MI20201106,20201106,MI,455,202,7513
,,,0,0,0,PR20200313,,,,,
,,,0,0,0,MA20200512,20200512,MA,818,,5141
,,,0,0,0,MN20200406,20200406,MN,57,,30
42,303,201,123,123,122,IA20200819,20200819,IA,89,31,1006
,,,0,0,0,DE20200508,20200508,DE,59,,213
420,1488,351,200,193,176,IL20201017,20201017,IL,422,165,9192
,,,0,0,0,KS20200430,20200430,KS,5,20,129
,,,0,0,0,MT20200423,20200423,MT,nan,,14
,,,0,0,0,VT20200629,20200629,VT,nan,,56
0,2,1,2,2,2,VI20201010,,,,,
,,,0,0,0,FL20200506,20200506,FL,nan,,1539
,,,0,0,0,NM20200322,,,,,
,,,0,0,0,MT20200706,20200706,MT,nan,,23
,,,0,0,0,ID20200331,20200331,ID,nan,,9
,,,0,0,0,ND20200426,20200426,ND,nan,,17
,,,0,0,0,TX20200420,20200420,TX,nan,,495
,,,0,0,0,VI20200521,,,,,
,,,0,0,0,NJ20200328,20200328,NJ,nan,,108
0,0,0,1,1,1,NY20200525,20200525,NY,1366,979,23488
112,1165,459,75,86,69,AZ20200811,20200811,AZ,510,346,4199
279,1271,401,161,151,147,GA20201010,20201010,GA,nan,,7393
,,,0,0,0,VI20200602,,,,,
,29,7,0,44,17,NE20200519,20200519,NE,nan,,132
36,277,80,130,123,123,MN20200821,20200821,MN,87,,1753
260,2315,592,261,259,257,FL20201001,20201001,FL,nan,,14444
688,5891,1771,330,386,342,CA20200807,20200807,CA,1798,,10011
86,1053,170,193,212,212,LA20201008,20201008,LA,nan,79,5416
,,,0,0,0,AZ20200323,,,,,
262,433,131,108,103,99,KY20200814,20200814,KY,147,,804
362,1233,322,124,124,124,KY20201112,20201112,KY,299,,1622
,,,0,0,0,NJ20200531,20200531,NJ,659,480,11698
,,,0,0,0,NH20200425,20200425,NH,nan,,60
,,,0,0,0,NC20200401,20200401,NC,nan,,10
,,,0,0,0,MA20200420,20200420,MA,nan,,1809
,,,0,0,0,NM20200609,20200609,NM,nan,,404
2,13,6,30,28,28,NH20200814,20200814,NH,nan,,423
138,1772,618,78,86,67,AZ20200731,20200731,AZ,719,505,3694
0,21,8,30,30,30,NH20201005,20201005,NH,nan,,444
,,,0,0,0,AR20200615,20200615,AR,nan,45,182
1,4,4,16,16,16,VT20201104,20201104,VT,4,,58
,,,0,0,0,GA20200527,20200527,GA,nan,,1933
,,,0,0,0,VA20200528,20200528,VA,416,195,1338
262,1619,372,161,161,159,MI20201101,20201101,MI,368,167,7340
68,578,176,63,63,63,WV20201128,20201128,WV,151,63,718
,,,0,0,0,MN20200612,20200612,MN,191,,1274
,,,0,0,0,NC20200428,20200428,NC,nan,,342
,,,0,0,0,MT20200506,20200506,MT,nan,,16
,,,0,0,0,TX20200509,20200509,TX,nan,,1049
,,,0,0,0,NC20200712,20200712,NC,311,,1503
23,160,42,62,58,54,OR20201012,20201012,OR,40,16,599
,,,0,0,0,GA20200418,20200418,GA,nan,,677
98,726,257,139,123,118,MO20200826,20200826,MO,nan,,1449
,,,0,0,0,FL20200623,20200623,FL,nan,,3238
19,94,18,47,48,48,ND20200827,20200827,ND,17,,139
,,,0,0,0,CO20200426,20200426,CO,nan,,680
0,4,2,17,17,17,VT20201030,20201030,VT,2,,58
18,100,19,30,19,17,HI20201014,20201014,HI,nan,,183
19,171,39,62,58,54,OR20201013,20201013,OR,39,19,605
,,,0,0,0,MI20200618,20200618,MI,192,101,5818
,,,0,0,0,TN20200505,20200505,TN,nan,,226
,,,0,0,0,NC20200422,20200422,NC,nan,,242
9,319,45,11,72,70,NJ20200810,20200810,NJ,101,43,14025
16,168,39,14,14,14,DC20201125,20201125,DC,36,19,677
,,,0,0,0,WI20200520,20200520,WI,129,,481
73,1147,197,212,220,220,LA20201031,20201031,LA,nan,79,5705
,,,0,0,0,ID20200403,20200403,ID,nan,,10
7,65,28,38,38,38,IA20200508,20200508,IA,164,109,243
,,,0,0,0,CT20200614,20200614,CT,nan,,4201
,1,,0,26,0,OK20200603,20200603,OK,42,,341
90,539,133,123,123,123,IA20201020,20201020,IA,134,49,1556
,,,0,0,0,KS20200705,20200705,KS,44,16,277
1,,,16,0,0,HI20200414,20200414,HI,nan,,9
60,462,68,50,50,50,ND20201111,20201111,ND,28,,686
4,,,16,0,0,HI20200713,20200713,HI,nan,,22
7,28,12,32,32,32,IA20200712,20200712,IA,63,17,748
17,409,55,20,24,23,NM20200726,20200726,NM,nan,,614
113,800,274,113,113,113,AL20200929,20200929,AL,nan,,2517
,,,0,0,0,ME20200601,20200601,ME,17,10,89
,92,,0,18,0,CA20200610,20200610,CA,1090,,4776
,,,0,0,0,MS20200408,20200408,MS,204,128,67
243,1484,390,122,122,122,AZ20201119,20201119,AZ,433,227,6384
,,,0,0,0,TX20200502,20200502,TX,nan,,847
138,1089,321,133,131,129,TN20201011,20201011,TN,245,126,2767
,,,0,0,0,VI20200517,,,,,
,,,0,0,0,KS20200312,20200312,KS,0,0,
,,,0,0,0,WI20200331,20200331,WI,nan,,16
14,23,14,27,29,29,WY20200801,20200801,WY,nan,,26
45,237,91,129,123,121,MN20200815,20200815,MN,100,,1699
2,14,9,30,29,30,NH20201007,20201007,NH,nan,,448
,,,0,0,0,GA20200408,20200408,GA,nan,,370
,,,0,0,0,VI20200428,,,,,
,,,0,0,0,OH20200519,20200519,OH,366,243,1720
,,,0,0,0,AL20200526,20200526,AL,nan,,580
193,1332,353,65,73,71,SC20200728,20200728,SC,401,256,1505
,,,0,0,0,GA20200319,20200319,GA,nan,,10
17,153,45,63,63,63,OR20201031,20201031,OR,53,25,675
117,613,199,124,143,140,PA20200727,20200727,PA,nan,93,7122
95,609,195,113,113,112,AZ20201028,20201028,AZ,188,94,5905
,,,0,0,0,MO20200309,,,,,
1,99,6,4,5,5,DE20200717,20200717,DE,7,,521
6,110,32,62,54,52,OR20200829,20200829,OR,39,21,447
,,,0,0,0,KS20200507,20200507,KS,6,34,147
12,101,26,53,46,43,OR20200820,20200820,OR,38,18,412
,,,0,0,0,MA20200419,20200419,MA,987,,1706
,,,0,0,0,VT20200516,20200516,VT,nan,,53
,,,0,0,0,MO20200523,20200523,MO,nan,94,676
20,379,75,66,66,66,PR20201115,,,,,
,,,0,0,0,SC20200627,20200627,SC,nan,,707
65,281,97,98,92,85,CO20201012,20201012,CO,nan,,2116
35,280,84,121,121,120,IA20200816,20200816,IA,85,33,975
25,211,68,137,97,87,KS20200819,20200819,KS,88,26,411
60,529,144,82,80,78,SC20201001,20201001,SC,172,91,3400
,,,0,0,0,NY20200514,20200514,NY,2223,1764,22170
,,,0,0,0,FL20200319,20200319,FL,nan,,8
77,663,198,159,173,165,PA20200811,20200811,PA,nan,98,7352
,,,0,0,0,KS20200620,20200620,KS,27,8,254
111,818,153,78,78,78,NJ20201027,20201027,NJ,194,80,14517
197,1869,599,83,94,80,GA20200727,20200727,GA,nan,,3509
,,,0,0,0,MT20200627,20200627,MT,nan,,22
,,,0,0,0,NC20200418,20200418,NC,nan,,164
85,420,78,67,67,67,MT20201107,20201107,MT,nan,,445
0,1,0,1,1,1,NY20200512,20200512,NY,2375,1882,21845
,,,0,0,0,NY20200320,20200320,NY,nan,163,
25,277,51,65,65,65,PR20200819,,,,,
30,302,35,65,65,65,PR20201024,,,,,
28,161,35,30,18,13,HI20200930,20200930,HI,nan,,136
,,,0,0,0,WA20200401,20200401,WA,nan,,247
,,,0,0,0,MS20200418,20200418,MS,140,82,152
,,,0,0,0,AZ20200316,,,,,
39,370,101,95,82,77,WA20200814,20200814,WA,nan,58,1755
,,,0,0,0,AL20200709,20200709,AL,nan,,1042
,,,0,0,0,OR20200504,20200504,OR,26,15,109
127,617,171,140,137,137,WI20200927,20200927,WI,166,,1281
,,,0,0,0,IL20200506,20200506,IL,1231,780,2974
,,,0,0,0,MS20200622,20200622,MS,148,95,978
96,1045,347,116,115,112,TN20200817,20200817,TN,343,167,1387
331,2310,550,199,199,199,PA20201109,20201109,PA,nan,179,9024
4,71,6,27,29,28,ME20200801,20200801,ME,5,1,123
5,14,5,28,28,28,WY20200829,20200829,WY,nan,,37
,,,0,0,0,GA20200406,20200406,GA,nan,,294
,,,0,0,0,TX20200411,20200411,TX,nan,,254
,,,0,0,0,AK20200416,20200416,AK,nan,,9
,,,0,0,0,TN20200707,20200707,TN,nan,,665
49,351,127,100,93,88,CO20201018,20201018,CO,nan,,2176
,,,0,0,0,GA20200315,20200315,GA,nan,,1
49,435,,121,121,0,LA20200628,20200628,LA,nan,76,3086
80,361,127,116,127,126,WI20200731,20200731,WI,108,,934
59,342,91,123,123,122,IA20200926,20200926,IA,89,34,1308
,,,0,0,0,MT20200504,20200504,MT,nan,,16
,,,0,0,0,UT20200408,20200408,UT,nan,,13
13,138,30,14,14,14,DC20201116,20201116,DC,33,18,660
,,,0,0,0,NJ20200516,20200516,NJ,1054,819,10249
89,520,163,109,103,97,AZ20201018,20201018,AZ,176,85,5827
61,689,176,89,74,74,VA20200818,20200818,VA,300,163,2396
78,638,186,153,152,151,MI20201010,20201010,MI,189,85,6891
,,,0,0,0,AR20200404,20200404,AR,nan,23,14
3,11,1,26,26,23,SD20200724,20200724,SD,nan,,122
349,1608,381,147,146,146,WI20201031,20201031,WI,349,,2031
,,,0,0,0,PR20200402,,,,,
,,,0,0,0,WI20200327,20200327,WI,nan,,13
,,,0,0,0,WA20200615,20200615,WA,nan,38,1221
85,562,119,94,94,94,NJ20201016,20201016,NJ,179,60,14413
,,,0,0,0,VI20200426,,,,,
,,,0,0,0,VT20200430,20200430,VT,nan,,49
,20,,0,35,0,NE20200430,20200430,NE,nan,,70
,,,0,0,0,AZ20200608,20200608,AZ,390,246,1047
161,1366,401,101,102,102,AL20200715,20200715,AL,nan,,1183
,1,,0,26,0,OK20200522,20200522,OK,57,,307
3,61,12,23,23,23,HI20201102,20201102,HI,nan,,219
129,899,317,111,111,111,AR20201128,20201128,AR,nan,183,2449
86,525,212,102,99,90,AR20201007,20201007,AR,nan,98,1482
121,978,245,62,62,62,NV20201114,20201114,NV,243,120,1908
,,,0,0,0,WI20200321,,,,,
13,126,34,14,14,14,DC20201115,20201115,DC,33,21,660
,65,,0,31,0,NV20200510,20200510,NV,115,63,306
13,211,20,13,13,10,DC20200810,20200810,DC,21,8,591
,,,0,0,0,TX20200518,20200518,TX,nan,,1347
,,,0,0,0,WV20200625,20200625,WV,9,2,92
,,,0,0,0,MT20200516,20200516,MT,nan,,16
16,122,38,80,78,76,MA20200824,20200824,MA,62,26,8949
,,,0,0,0,OK20200325,20200325,OK,35,,5
,,,0,0,0,WV20200419,20200419,WV,37,25,20
141,756,236,112,112,112,AR20201112,20201112,AR,nan,116,2144
330,2392,401,96,96,96,NJ20201120,20201120,NJ,486,232,14900
,,,0,0,0,NH20200530,20200530,NH,nan,,242
,,,0,0,0,AL20200503,20200503,AL,nan,,290
,79,,0,31,0,NV20200617,20200617,NV,96,45,473
89,840,212,105,105,105,WA20201127,20201127,WA,nan,53,2703
21,202,45,65,65,65,PR20201014,,,,,
,,,0,0,0,ND20200501,20200501,ND,nan,,23
5,17,5,30,30,30,NH20201016,20201016,NH,nan,,465
,,,0,0,0,OH20200306,,,,,
7,86,22,14,14,11,DC20200829,20200829,DC,25,13,605
15,160,39,62,61,59,OR20201014,20201014,OR,43,18,608
,,,0,0,0,NM20200329,20200329,NM,nan,,2
7,21,7,29,30,30,WY20200810,20200810,WY,nan,,28
,,,0,0,0,TX20200421,20200421,TX,nan,,517
,,,0,0,0,UT20200523,20200523,UT,nan,,97
69,543,173,152,150,150,MI20201004,20201004,MI,137,62,6801
13,86,21,22,22,22,AK20201103,20201103,AK,nan,9,84
362,2244,602,404,397,391,CA20201014,20201014,CA,622,,16639
,,,0,0,0,IN20200618,20200618,IN,236,111,2304
,,,0,0,0,NC20200606,20200606,NC,nan,,992
65,444,78,106,98,90,AZ20201008,20201008,AZ,156,63,5743
,,,0,0,0,WY20200326,20200326,WY,nan,,
,,,0,0,0,NC20200702,20200702,NC,274,,1391
,,,0,0,0,DE20200518,20200518,DE,39,,297
20,161,34,47,46,45,ID20200813,20200813,ID,34,,251
,,1,0,0,16,AK20200710,20200710,AK,nan,0,17
118,728,209,154,153,152,MI20201013,20201013,MI,211,95,6928
,,,0,0,0,MT20200525,20200525,MT,nan,,16
136,279,44,65,65,65,PR20201023,,,,,
,,,0,0,0,UT20200416,20200416,UT,nan,,21
18,136,27,14,14,13,DC20201110,20201110,DC,27,15,657
,,,0,0,0,WV20200508,20200508,WV,13,7,52
49,289,102,101,93,86,CO20201010,20201010,CO,nan,,2112
,,,0,0,0,WI20200529,20200529,WI,145,,568
,151,,0,32,0,NV20200421,20200421,NV,187,119,180
31,200,73,95,80,75,CO20200816,20200816,CO,nan,,1896
7,59,12,32,31,30,CT20200824,20200824,CT,nan,,4460
15,57,9,29,29,29,WY20201012,20201012,WY,nan,,54
,,,0,0,0,WV20200705,20200705,WV,12,5,95
248,1966,610,94,104,89,GA20200730,20200730,GA,nan,,3671
45,335,85,59,55,53,MD20201003,20201003,MD,78,,3813
19,332,35,17,18,16,NM20200716,20200716,NM,nan,,562
8,58,25,27,27,27,IA20200525,20200525,IA,113,63,460
,,,0,0,0,MO20200520,20200520,MO,nan,99,631
20,118,48,43,44,42,NM20200808,20200808,NM,nan,,681
,,,0,0,0,NH20200511,20200511,NH,nan,,133
,,,0,0,0,OH20200317,20200317,OH,nan,,
0,0,0,8,9,9,VT20200807,20200807,VT,nan,,58
45,640,181,62,61,60,NV20200827,20200827,NV,207,110,1271
79,781,269,74,120,116,OH20200722,20200722,OH,345,170,3235
71,289,59,67,67,67,MT20201014,20201014,MT,nan,,225
,,,0,0,0,ME20200610,20200610,ME,10,5,100
,,,0,0,0,OR20200422,20200422,OR,37,24,78
72,536,201,65,116,69,OK20200728,20200728,OK,211,,509
91,399,79,64,64,63,SD20201027,20201027,SD,nan,,375
,,,0,0,0,WY20200529,20200529,WY,nan,,15
8,84,20,20,16,12,HI20200803,20200803,HI,nan,,26
,,,0,0,0,OH20200520,20200520,OH,334,246,1781
8,93,29,13,13,10,DC20200816,20200816,DC,28,9,597
,,,0,0,0,FL20200608,20200608,FL,nan,,2712
,,,0,0,0,WI20200703,20200703,WI,75,,796
,,,0,0,0,PA20200427,20200427,PA,nan,610,1597
,,,0,0,0,MD20200322,20200322,MD,nan,,3
2,106,5,4,5,5,DE20200719,20200719,DE,9,,523
14,211,39,62,54,51,OR20201004,20201004,OR,36,16,563
,,,0,0,0,WV20200603,20200603,WV,11,2,78
122,715,198,211,200,197,OH20200930,20200930,OH,194,103,4804
316,2311,670,407,391,387,CA20201019,20201019,CA,660,,16970
11,117,29,14,14,14,DC20201009,20201009,DC,27,13,634
8,90,26,48,49,49,ND20200813,20200813,ND,nan,,120
343,2500,601,259,259,259,FL20201027,20201027,FL,nan,,16505
,,,0,0,0,MN20200630,20200630,MN,136,,1441
15,59,29,47,44,43,NM20200822,20200822,NM,nan,,743
,,,0,0,0,IL20200427,20200427,IL,1249,763,1983
58,441,198,102,97,88,AR20201002,20201002,AR,nan,89,1391
66,565,164,98,96,96,VA20201001,20201001,VA,210,107,3228
10,58,15,30,30,28,CT20200811,20200811,CT,nan,,4444
31,92,48,78,76,74,NJ20200828,20200828,NJ,88,26,14150
,,,0,0,0,AL20200401,20200401,AL,nan,,17
,,,0,0,0,WA20200313,,,,,
,,,0,0,0,AZ20200327,20200327,AZ,nan,,13
250,48,430,237,4,237,LA20200731,20200731,LA,nan,222,3835
0,0,0,17,17,17,VT20201011,20201011,VT,nan,,58
23,224,74,122,122,122,IA20200720,20200720,IA,74,32,797
21,131,26,14,14,14,DC20201111,20201111,DC,30,17,657
14,93,16,32,30,30,CT20200928,20200928,CT,nan,,4503
124,1004,291,133,129,128,TN20201005,20201005,TN,276,135,2597
,,,0,0,0,AL20200421,20200421,AL,nan,,186
8,35,10,8,11,11,RI20200723,20200723,RI,7,4,1001
,,,0,0,0,MO20200617,20200617,MO,nan,66,909
786,6610,1974,347,384,357,CA20200730,20200730,CA,2029,,8909
,,,0,0,0,KS20200629,20200629,KS,52,16,270
,218,,0,34,0,NV20200712,20200712,NV,239,114,593
,,,0,0,0,IN20200319,20200319,IN,nan,,2
,,,0,0,0,TX20200309,,,,,
9,151,52,63,63,63,WV20200824,20200824,WV,47,23,179
,25,2,0,43,16,NE20200518,20200518,NE,nan,,125
,,,0,0,0,NH20200416,20200416,NH,nan,,34
140,959,233,100,100,100,NE20201118,20201118,NE,nan,,826
,79,,0,31,0,NV20200620,20200620,NV,88,51,486
,,,0,0,0,GA20200528,20200528,GA,nan,,1973
,,,0,0,0,OH20200529,20200529,OH,325,223,2131
,,,0,0,0,WA20200502,20200502,WA,121,,830
21,122,29,30,30,30,WY20201102,20201102,WY,nan,,87
,,,0,0,0,ID20200513,20200513,ID,nan,,69
,,,0,0,0,MD20200424,20200424,MD,547,,723
46,715,164,68,75,74,VA20200730,20200730,VA,284,147,2141
11,133,26,14,14,13,DC20201113,20201113,DC,34,19,657
,,,0,0,0,CT20200618,20200618,CT,nan,,4226
,,,0,0,0,VA20200417,20200417,VA,nan,,231
,,,0,0,0,MA20200524,20200524,MA,558,,6372
,,,0,0,0,MD20200421,20200421,MD,526,,584
32,289,100,95,90,87,NE20201006,20201006,NE,nan,,507
535,3359,643,202,202,202,NY20201127,20201127,NY,636,294,26588
,,,0,0,0,WI20200510,20200510,WI,113,,400
26,341,,112,112,0,LA20200605,20200605,LA,nan,75,2801
,,,0,0,0,TX20200622,20200622,TX,nan,,2192
