previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
,,,0,0,0,AR20200613,20200613,AR,nan,46,177
,,,0,0,0,DE20200505,20200505,DE,61,,187
,,,0,0,0,KS20200706,20200706,KS,57,16,280
11,71,13,27,30,28,CT20200810,20200810,CT,nan,,4444
,,,0,0,0,MO20200510,20200510,MO,nan,137,482
67,897,347,111,113,111,NC20200802,20200802,NC,341,,1969
,,,0,0,0,AK20200414,20200414,AK,nan,,9
,,,0,0,0,TN20200324,20200324,TN,nan,,2
36,156,57,63,59,54,SD20201005,20201005,SD,nan,,248
74,488,214,126,125,123,OK20200823,20200823,OK,227,,726
192,1081,270,149,149,149,KS20201126,20201126,KS,272,102,1503
15,165,31,12,12,12,DE20201109,20201109,DE,27,,719
,,,0,0,0,NH20200709,20200709,NH,nan,,387
67,1019,293,61,61,60,NV20200804,20200804,NV,310,202,862
,,,0,0,0,AL20200530,20200530,AL,nan,,618
2,10,5,34,31,29,ME20200827,20200827,ME,4,1,132
,139,,0,34,0,NV20200426,20200426,NV,166,115,206
,,,0,0,0,OR20200502,20200502,OR,33,19,109
452,3440,1090,575,571,571,TX20201005,20201005,TX,nan,,16033
5,33,13,25,22,20,AK20200926,20200926,AK,nan,14,52
244,1994,609,86,98,83,GA20200726,20200726,GA,nan,,3498
22,181,44,37,43,41,ID20200807,20200807,ID,44,,229
0,3,0,16,16,16,VT20201108,20201108,VT,0,,59
109,792,214,121,121,121,AZ20201105,20201105,AZ,254,128,6087
153,981,298,156,153,152,IN20201016,20201016,IN,378,136,3654
711,7444,2569,536,537,530,TX20200808,20200808,TX,nan,,8343
29,257,93,67,68,64,CO20200717,20200717,CO,nan,,1751
50,178,59,65,67,54,KS20200717,20200717,KS,107,22,299
,,,0,0,0,PR20200403,,,,,
,,,0,0,0,AR20200604,20200604,AR,nan,32,151
0,0,0,1,1,1,ME20200703,20200703,ME,9,3,105
,,,0,0,0,FL20200613,20200613,FL,nan,,2925
0,0,0,1,1,1,RI20200607,20200607,RI,37,23,772
37,200,35,30,30,30,WY20201117,20201117,WY,nan,,155
,,,0,0,0,VT20200628,20200628,VT,nan,,56
126,774,190,108,108,108,MS20201119,20201119,MS,222,103,3619
11,95,28,13,13,10,DC20200815,20200815,DC,28,14,597
,,,0,0,0,MA20200615,20200615,MA,253,167,7647
,,,0,0,0,KS20200511,20200511,KS,4,24,158
,,,0,0,0,AL20200606,20200606,AL,nan,,685
98,991,245,108,108,108,VA20201115,20201115,VA,252,120,3800
863,6060,1746,584,584,584,TX20201029,20201029,TX,nan,,17819
12,64,36,29,36,35,WV20200717,20200717,WV,37,15,100
106,657,180,115,115,114,AZ20201031,20201031,AZ,197,104,5979
9,115,35,62,54,52,OR20200828,20200828,OR,39,21,447
85,590,153,64,68,67,VA20200717,20200717,VA,247,118,2013
,,,0,0,0,WV20200308,,,,,
0,25,6,22,57,36,NE20200704,20200704,NE,nan,,284
27,239,68,40,37,42,NJ20200721,20200721,NJ,151,77,13763
,,,0,0,0,TN20200531,20200531,TN,nan,,364
,,,0,0,0,NE20200309,,,,,
1,12,4,38,35,33,ME20200925,20200925,ME,2,0,140
,,,0,0,0,KY20200516,20200516,KY,218,,334
2,16,4,9,9,19,AK20200720,20200720,AK,nan,0,18
31,252,87,123,123,123,IA20200802,20200802,IA,78,31,876
,,,0,0,0,AZ20200403,20200403,AZ,nan,,41
,,,0,0,0,MI20200529,20200529,MI,371,250,5406
2,70,15,7,30,29,CT20200722,20200722,CT,nan,,4406
,,,0,0,0,OR20200525,20200525,OR,23,16,148
,,,0,0,0,TN20200329,20200329,TN,nan,,7
72,477,149,80,80,80,MA20201109,20201109,MA,143,66,10163
,,,0,0,0,LA20200401,20200401,LA,nan,490,273
,,,0,0,0,AK20200428,20200428,AK,nan,,9
76,666,198,108,107,107,VA20201021,20201021,VA,202,97,3515
,,,0,0,0,NM20200409,20200409,NM,nan,,17
,,,0,0,0,AR20200510,20200510,AR,nan,14,91
17,83,29,18,20,18,NM20200730,20200730,NM,nan,,635
,,,0,0,0,MA20200504,20200504,MA,908,,4090
0,,,15,0,0,HI20200708,20200708,HI,nan,,19
,,,0,0,0,WA20200407,20200407,WA,191,,394
131,1090,335,128,127,127,NC20201021,20201021,NC,337,,4032
2,6,1,2,2,2,VI20200722,,,,,
