previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,deathIncrease
62,567,116,126,126,126,IA20210103,20210103,IA,120,52,0
45,341,73,52,52,52,ID20210103,20210103,ID,84,,12
370,3426,734,207,207,207,IL20210103,20210103,IL,798,462,105
539,2493,609,166,166,166,IN20210103,20210103,IN,648,326,65
114,923,249,150,150,150,KS20210103,20210103,KS,221,97,0
416,1667,453,124,124,124,KY20210103,20210103,KY,421,196,25
256,2681,448,216,221,221,LA20210103,20210103,LA,,204,49
267,2067,422,101,101,101,MA20210103,20210103,MA,416,258,108
215,1681,385,59,59,59,MD20210103,20210103,MD,412,,27
13,192,51,39,39,39,ME20210103,20210103,ME,47,20,1
255,2349,567,162,162,162,MI20210103,20210103,MI,629,368,0
112,826,162,140,140,140,MN20210103,20210103,MN,196,,53
270,2417,632,140,140,140,MO20210103,20210103,MO,627,350,19
149,1260,308,108,108,108,MS20210103,20210103,MS,346,219,31
37,197,45,67,67,67,MT20210103,20210103,MT,39,22,1
423,3315,804,132,132,132,NC20210103,20210103,NC,776,,18
12,153,32,50,50,50,ND20210103,20210103,ND,16,,0
42,527,124,101,101,101,NE20210103,20210103,NE,,,1
32,306,66,30,30,30,NH20210103,20210103,NH,,,11
405,3632,647,96,96,96,NJ20210103,20210103,NJ,669,462,21
94,649,160,55,55,55,NM20210103,20210103,NM,,,17
162,1842,435,63,63,63,NV20210103,20210103,NV,398,273,32
1030,8406,1375,206,206,206,NY20210103,20210103,NY,1344,815,139
641,4306,1047,232,232,232,OH20210103,20210103,OH,1054,684,59
387,1931,508,151,151,151,OK20210103,20210103,OK,498,,20
67,475,105,65,65,65,OR20210103,20210103,OR,119,60,2
641,5869,1253,229,229,229,PA20210103,20210103,PA,1149,674,56
15,327,66,68,68,68,PR20210103,20210103,PR,74,72,19
26,430,54,15,15,15,RI20210103,20210103,RI,61,47,10
310,2081,429,87,87,87,SC20210103,20210103,SC,414,217,84
23,247,50,65,65,65,SD20210103,20210103,SD,54,33,12
330,3228,822,114,114,114,TN20210103,20210103,TN,792,467,55
1643,12956,3370,591,591,591,TX20210103,20210103,TX,3184,,50
92,450,156,59,59,59,UT20210103,20210103,UT,164,,7
266,2389,494,108,108,108,VA20210103,20210103,VA,557,344,7
0,2,1,2,2,2,VI20210103,20210103,VI,,,0
9,32,4,17,17,17,VT20210103,20210103,VT,2,,1
90,998,230,105,105,105,WA20210103,20210103,WA,248,118,0
240,1152,249,149,148,148,WI20210103,20210103,WI,230,,5
71,856,212,63,63,63,WV20210103,20210103,WV,202,90,3
11,107,24,31,31,31,WY20210103,20210103,WY,,,0
8,65,11,24,24,24,AK20210102,20210102,AK,,6,9
391,2912,790,114,114,114,AL20210102,20210102,AL,,,0
165,1155,334,111,111,111,AR20210102,20210102,AR,393,197,18
582,4246,997,125,125,125,AZ20210102,20210102,AZ,1074,761,46
2276,20792,4547,418,417,417,CA20210102,20210102,CA,4606,,386
108,945,280,104,104,104,CO20210102,20210102,CO,,,39
98,1101,229,40,40,40,CT20210102,20210102,CT,,,104
36,274,64,14,14,14,DC20210102,20210102,DC,70,33,4
39,441,54,16,16,16,DE20210102,20210102,DE,59,,0
1039,6874,1350,268,268,268,FL20210102,20210102,FL,,,220
911,4854,1187,170,170,170,GA20210102,20210102,GA,,,2
9,100,14,26,26,26,HI20210102,20210102,HI,11,9,0
64,570,119,126,126,126,IA20210102,20210102,IA,119,60,48
54,326,72,52,52,52,ID20210102,20210102,ID,85,,0
334,3379,738,207,207,207,IL20210102,20210102,IL,783,458,44
502,2402,605,166,166,166,IN20210102,20210102,IN,663,342,39
124,889,240,150,150,150,KS20210102,20210102,KS,221,97,0
395,1646,428,124,124,124,KY20210102,20210102,KY,428,211,75
224,2606,517,216,221,221,LA20210102,20210102,LA,,202,0
255,1997,414,101,101,101,MA20210102,20210102,MA,412,246,79
171,1625,377,59,59,59,MD20210102,20210102,MD,415,,25
12,186,51,39,39,39,ME20210102,20210102,ME,48,19,11
249,2322,545,162,162,162,MI20210102,20210102,MI,629,368,288
92,828,176,140,140,140,MN20210102,20210102,MN,196,,54
232,2369,620,140,140,140,MO20210102,20210102,MO,653,357,3
156,1239,313,108,108,108,MS20210102,20210102,MS,346,219,24
31,193,40,67,67,67,MT20210102,20210102,MT,39,23,10
351,3272,794,132,132,132,NC20210102,20210102,NC,783,,144
14,157,35,50,50,50,ND20210102,20210102,ND,16,,28
49,512,116,101,101,101,NE20210102,20210102,NE,,,17
35,308,62,30,30,30,NH20210102,20210102,NH,,,10
381,3557,712,96,96,96,NJ20210102,20210102,NJ,678,465,27
114,667,163,55,55,55,NM20210102,20210102,NM,,,32
130,1809,419,63,63,63,NV20210102,20210102,NV,398,273,5
989,8099,1349,206,206,206,NY20210102,20210102,NY,1321,786,129
506,4169,1001,232,232,232,OH20210102,20210102,OH,1036,696,55
374,1921,511,153,153,153,OK20210102,20210102,OK,498,,38
68,465,99,65,65,65,OR20210102,20210102,OR,119,60,13
489,5804,1250,229,229,229,PA20210102,20210102,PA,1159,649,25
16,335,68,68,68,68,PR20210102,20210102,PR,73,72,5
28,414,56,15,15,15,RI20210102,20210102,RI,61,47,10
265,1976,414,87,87,87,SC20210102,20210102,SC,413,214,89
20,241,51,65,65,65,SD20210102,20210102,SD,59,40,13
381,3171,799,114,114,114,TN20210102,20210102,TN,791,453,63
1555,12510,3207,591,591,591,TX20210102,20210102,TX,3072,,96
62,449,152,59,59,59,UT20210102,20210102,UT,158,,25
245,2348,479,108,108,108,VA20210102,20210102,VA,557,335,36
0,2,2,2,2,2,VI20210102,20210102,VI,,,0
4,25,5,17,17,17,VT20210102,20210102,VT,5,,3
98,993,238,105,105,105,WA20210102,20210102,WA,248,118,0
202,1087,254,149,148,148,WI20210102,20210102,WI,230,,2
92,860,209,63,63,63,WV20210102,20210102,WV,205,92,12
25,104,26,31,31,31,WY20210102,20210102,WY,,,0
7,61,10,24,24,24,AK20210101,20210101,AK,,6,0
422,2856,776,115,115,115,AL20210101,20210101,AL,,,45
200,1128,338,111,111,111,AR20210101,20210101,AR,398,205,35
524,4175,976,125,125,125,AZ20210101,20210101,AZ,1072,759,151
2239,20408,4580,418,417,417,CA20210101,20210101,CA,4618,,585
157,981,300,104,104,104,CO20210101,20210101,CO,,,59
129,1091,232,40,40,40,CT20210101,20210101,CT,,,0
32,266,61,14,14,14,DC20210101,20210101,DC,63,31,2
49,432,58,16,16,16,DE20210101,20210101,DE,58,,4
1088,6591,1341,268,268,268,FL20210101,20210101,FL,,,0
710,4721,1162,170,170,170,GA20210101,20210101,GA,,,24
11,101,13,26,26,26,HI20210101,20210101,HI,11,9,1
87,566,118,126,126,126,IA20210101,20210101,IA,117,63,7
53,313,69,52,52,52,ID20210101,20210101,ID,85,,33
403,3388,733,207,207,207,IL20210101,20210101,IL,808,464,195
490,2355,617,166,166,166,IN20210101,20210101,IN,676,348,108
136,885,233,150,150,150,KS20210101,20210101,KS,221,97,138
460,1601,430,124,124,124,KY20210101,20210101,KY,433,234,0
263,2568,503,216,221,221,LA20210101,20210101,LA,,202,0
309,1993,411,101,101,101,MA20210101,20210101,MA,417,240,0
216,1610,384,59,59,59,MD20210101,20210101,MD,388,,47
14,190,53,39,39,39,ME20210101,20210101,ME,46,18,0
231,2340,569,162,162,162,MI20210101,20210101,MI,629,368,0
110,870,186,140,140,140,MN20210101,20210101,MN,196,,0
266,2357,638,140,140,140,MO20210101,20210101,MO,648,364,21
180,1196,308,108,108,108,MS20210101,20210101,MS,346,219,29
37,192,41,67,67,67,MT20210101,20210101,MT,39,23,0
429,3201,810,132,132,132,NC20210101,20210101,NC,774,,0
20,160,38,50,50,50,ND20210101,20210101,ND,16,,0
50,513,124,101,101,101,NE20210101,20210101,NE,,,40
41,313,62,30,30,30,NH20210101,20210101,NH,,,0
402,3500,651,96,96,96,NJ20210101,20210101,NJ,693,471,118
104,685,168,55,55,55,NM20210101,20210101,NM,,,25
161,1782,432,63,63,63,NV20210101,20210101,NV,398,273,21
986,7926,1334,206,206,206,NY20210101,20210101,NY,1292,776,168
541,4177,1000,232,232,232,OH20210101,20210101,OH,1059,722,0
337,1887,492,153,153,153,OK20210101,20210101,OK,498,,0
67,474,102,65,65,65,OR20210101,20210101,OR,119,60,9
625,5834,1246,229,229,229,PA20210101,20210101,PA,1172,661,236
32,338,70,68,68,68,PR20210101,20210101,PR,77,70,18
30,415,56,15,15,15,RI20210101,20210101,RI,61,47,14
259,1897,410,87,87,87,SC20210101,20210101,SC,400,199,0
20,245,51,65,65,65,SD20210101,20210101,SD,62,46,0
365,3122,786,115,115,115,TN20210101,20210101,TN,813,471,0
1707,12254,3103,590,590,590,TX20210101,20210101,TX,3124,,334
85,498,157,59,59,59,UT20210101,20210101,UT,158,,0
317,2345,456,108,108,108,VA20210101,20210101,VA,557,322,49
0,2,2,2,2,2,VI20210101,20210101,VI,,,0
6,28,7,17,17,17,VT20210101,20210101,VT,7,,0
101,990,236,105,105,105,WA20210101,20210101,WA,248,118,41
235,1082,255,149,148,148,WI20210101,20210101,WI,244,,12
89,867,214,63,63,63,WV20210101,20210101,WV,211,102,23
14,96,24,31,31,31,WY20210101,20210101,WY,,,0
13,66,10,24,24,24,AK20201231,20201231,AK,,6,3
428,2909,784,115,115,115,AL20201231,20201231,AL,,,53
172,1133,350,111,111,111,AR20201231,20201231,AR,396,209,39
592,4250,974,125,125,125,AZ20201231,20201231,AZ,1028,746,146
2273,20619,4604,418,417,417,CA20201231,20201231,CA,4518,,428
166,1032,290,104,104,104,CO20201231,20201231,CO,,,64
149,1125,235,40,40,40,CT20201231,20201231,CT,,,31
30,260,62,14,14,14,DC20201231,20201231,DC,72,31,6
48,430,59,16,16,16,DE20201231,20201231,DE,58,,5
1094,6553,1308,268,268,268,FL20201231,20201231,FL,,,133
767,4673,1163,170,170,170,GA20201231,20201231,GA,,,88
10,95,14,26,26,26,HI20201231,20201231,HI,16,18,3
76,567,118,126,126,126,IA20201231,20201231,IA,134,69,69
48,325,80,52,52,52,ID20201231,20201231,ID,85,,10
447,3567,732,207,207,207,IL20201231,20201231,IL,837,496,167
350,2491,647,166,166,166,IN20201231,20201231,IN,633,353,103
149,916,240,150,150,150,KS20201231,20201231,KS,234,99,0
472,1595,426,124,124,124,KY20201231,20201231,KY,433,234,0
261,2564,513,216,221,221,LA20201231,20201231,LA,,202,40
334,2023,426,101,101,101,MA20201231,20201231,MA,417,240,85
229,1631,358,59,59,59,MD20201231,20201231,MD,399,,47
20,199,53,39,39,39,ME20201231,20201231,ME,48,19,13
309,2444,592,162,162,162,MI20201231,20201231,MI,629,368,0
127,876,196,140,140,140,MN20201231,20201231,MN,196,,61
305,2397,639,140,140,140,MO20201231,20201231,MO,640,359,28
163,1207,315,108,108,108,MS20201231,20201231,MS,321,208,40
30,199,42,67,67,67,MT20201231,20201231,MT,44,25,11
440,3224,784,132,132,132,NC20201231,20201231,NC,774,,19
16,164,36,50,50,50,ND20201231,20201231,ND,16,,0
58,530,141,101,101,101,NE20201231,20201231,NE,,,8
59,320,59,30,30,30,NH20201231,20201231,NH,,,18
436,3632,666,96,96,96,NJ20201231,20201231,NJ,693,462,90
159,720,198,55,55,55,NM20201231,20201231,NM,,,41
165,1854,418,63,63,63,NV20201231,20201231,NV,404,278,59
1095,8045,1310,206,206,206,NY20201231,20201231,NY,1276,723,135
607,4488,1055,232,232,232,OH20201231,20201231,OH,1059,722,107
389,1957,505,153,153,153,OK20201231,20201231,OK,501,,36
65,474,96,65,65,65,OR20201231,20201231,OR,117,61,19
651,6088,1280,229,229,229,PA20201231,20201231,PA,1205,692,306
33,338,70,68,68,68,PR20201231,20201231,PR,80,70,19
39,440,62,15,15,15,RI20201231,20201231,RI,61,47,32
249,1852,397,87,87,87,SC20201231,20201231,SC,400,199,47
24,261,56,65,65,65,SD20201231,20201231,SD,62,46,24
380,3202,814,114,114,114,TN20201231,20201231,TN,826,475,97
1790,12447,3163,590,590,590,TX20201231,20201231,TX,3107,,349
73,469,145,59,59,59,UT20201231,20201231,UT,158,,13
274,2316,472,108,108,108,VA20201231,20201231,VA,525,328,48
0,2,2,2,2,2,VI20201231,20201231,VI,,,0
2,25,6,17,17,17,VT20201231,20201231,VT,7,,2
107,1012,238,105,105,105,WA20201231,20201231,WA,235,118,51
255,1126,261,149,148,148,WI20201231,20201231,WI,244,,50
107,864,219,63,63,63,WV20201231,20201231,WV,206,99,20
6,104,23,31,31,31,WY20201231,20201231,WY,,,33
7,66,11,24,24,24,AK20201230,20201230,AK,,10,2
421,2907,753,116,116,116,AL20201230,20201230,AL,,,37
177,1121,331,111,111,111,AR20201230,20201230,AR,385,205,34
533,4215,961,125,125,125,AZ20201230,20201230,AZ,1076,750,78
2359,20771,4514,417,416,416,CA20201230,20201230,CA,4478,,432
162,1074,304,104,104,104,CO20201230,20201230,CO,,,63
144,1165,221,40,40,40,CT20201230,20201230,CT,,,40
34,273,66,14,14,14,DC20201230,20201230,DC,71,33,5
41,471,63,16,16,16,DE20201230,20201230,DE,56,,23
1052,6401,1334,268,268,268,FL20201230,20201230,FL,,,139
822,4686,1124,170,170,170,GA20201230,20201230,GA,,,67
14,86,13,26,26,26,HI20201230,20201230,HI,14,12,0
76,590,134,126,126,126,IA20201230,20201230,IA,127,66,10
46,345,89,52,52,52,ID20201230,20201230,ID,77,,16
413,3652,764,207,207,207,IL20201230,20201230,IL,882,496,215
338,2507,656,166,166,166,IN20201230,20201230,IN,659,365,109
159,948,259,150,150,150,KS20201230,20201230,KS,234,99,193
413,1548,422,123,123,123,KY20201230,20201230,KY,433,234,29
256,2469,413,216,221,221,LA20201230,20201230,LA,,210,51
320,1969,415,101,101,101,MA20201230,20201230,MA,433,231,120
239,1670,375,59,59,59,MD20201230,20201230,MD,410,,45
9,182,55,39,39,39,ME20201230,20201230,ME,48,19,1
310,2505,610,163,163,163,MI20201230,20201230,MI,629,368,52
115,913,203,140,140,140,MN20201230,20201230,MN,207,,66
262,2428,668,140,140,140,MO20201230,20201230,MO,623,356,58
177,1234,317,108,108,108,MS20201230,20201230,MS,321,208,28
38,203,46,67,67,67,MT20201230,20201230,MT,46,26,11
389,3186,800,132,132,132,NC20201230,20201230,NC,768,,155
24,173,38,50,50,50,ND20201230,20201230,ND,15,,6
57,557,138,101,101,101,NE20201230,20201230,NE,,,16
51,303,56,30,30,30,NH20201230,20201230,NH,,,6
488,3679,665,96,96,96,NJ20201230,20201230,NJ,701,467,175
125,721,189,55,55,55,NM20201230,20201230,NM,,,33
162,1892,415,63,63,63,NV20201230,20201230,NV,408,282,47
1114,8133,1300,205,205,205,NY20201230,20201230,NY,1250,702,149
646,4552,1074,232,232,232,OH20201230,20201230,OH,1087,693,133
421,1997,514,153,153,153,OK20201230,20201230,OK,486,,48
65,507,106,65,65,65,OR20201230,20201230,OR,127,60,16
655,6259,1285,228,228,228,PA20201230,20201230,PA,1178,681,319
45,349,71,68,68,68,PR20201230,20201230,PR,82,70,24
27,429,62,15,15,15,RI20201230,20201230,RI,61,47,17
275,1893,397,87,87,87,SC20201230,20201230,SC,393,198,51
26,275,61,65,65,65,SD20201230,20201230,SD,57,43,18
421,3246,831,119,119,119,TN20201230,20201230,TN,819,466,100
1810,12213,3140,590,590,590,TX20201230,20201230,TX,3012,,326
95,495,146,59,59,59,UT20201230,20201230,UT,156,,21
282,2319,526,108,108,108,VA20201230,20201230,VA,553,330,64
0,3,3,2,2,2,VI20201230,20201230,VI,,,0
6,26,6,17,17,17,VT20201230,20201230,VT,6,,4
88,1020,242,105,105,105,WA20201230,20201230,WA,245,108,174
240,1155,279,149,149,149,WI20201230,20201230,WI,244,,40
100,857,216,63,63,63,WV20201230,20201230,WV,209,93,34
19,117,25,31,31,31,WY20201230,20201230,WY,,,0
11,72,14,23,23,23,AK20201229,20201229,AK,,10,1
457,2842,742,106,106,106,AL20201229,20201229,AL,,,25
211,1103,336,91,91,91,AR20201229,20201229,AR,382,198,66
538,4056,976,103,103,103,AZ20201229,20201229,AZ,1053,720,171
2262,20593,4456,380,379,379,CA20201229,20201229,CA,4390,,242
170,1046,323,95,95,95,CO20201229,20201229,CO,,,56
139,1188,245,33,33,33,CT20201229,20201229,CT,,,20
22,273,68,14,14,14,DC20201229,20201229,DC,72,35,4
47,468,60,10,10,10,DE20201229,20201229,DE,60,,0
1081,6301,1325,231,231,231,FL20201229,20201229,FL,,,105
703,4500,1079,156,156,156,GA20201229,20201229,GA,,,83
7,84,15,24,24,24,HI20201229,20201229,HI,14,11,0
98,606,128,122,122,122,IA20201229,20201229,IA,117,67,67
40,357,88,48,48,48,ID20201229,20201229,ID,77,,23
441,3748,819,191,191,191,IL20201229,20201229,IL,904,506,126
330,2570,660,137,137,137,IN20201229,20201229,IN,646,363,165
149,917,253,141,141,141,KS20201229,20201229,KS,117,68,0
444,1531,424,105,105,105,KY20201229,20201229,KY,380,211,31
244,2453,489,216,221,221,LA20201229,20201229,LA,,218,61
279,1878,430,79,79,79,MA20201229,20201229,MA,431,225,60
246,1649,396,52,52,52,MD20201229,20201229,MD,420,,63
14,187,58,37,37,37,ME20201229,20201229,ME,48,14,7
332,2618,610,158,158,158,MI20201229,20201229,MI,649,390,212
125,937,213,132,132,132,MN20201229,20201229,MN,214,,36
286,2459,665,125,125,125,MO20201229,20201229,MO,623,356,117
196,1220,292,101,101,101,MS20201229,20201229,MS,325,201,85
45,222,47,66,66,66,MT20201229,20201229,MT,47,24,12
384,3237,787,118,118,118,NC20201229,20201229,NC,761,,13
21,177,38,47,47,47,ND20201229,20201229,ND,18,,12
38,511,141,100,100,100,NE20201229,20201229,NE,,,28
38,295,55,28,28,28,NH20201229,20201229,NH,,,20
424,3622,651,78,78,78,NJ20201229,20201229,NJ,723,473,126
122,699,193,54,54,54,NM20201229,20201229,NM,,,23
172,1917,427,60,60,60,NV20201229,20201229,NV,414,282,46
1076,7998,1279,179,179,179,NY20201229,20201229,NY,1224,711,127
637,4611,1096,201,201,201,OH20201229,20201229,OH,1110,706,151
422,1955,521,146,146,146,OK20201229,20201229,OK,499,,22
66,507,104,63,63,63,OR20201229,20201229,OR,122,62,6
715,6187,1316,192,192,192,PA20201229,20201229,PA,1174,698,267
34,347,78,68,68,68,PR20201229,20201229,PR,78,71,4
41,445,62,15,15,15,RI20201229,20201229,RI,55,46,18
250,1805,381,70,70,70,SC20201229,20201229,SC,379,189,25
34,269,54,63,63,63,SD20201229,20201229,SD,62,44,0
458,3239,825,116,116,116,TN20201229,20201229,TN,798,455,122
1752,11940,3106,587,587,587,TX20201229,20201229,TX,3012,,241
78,481,146,54,54,54,UT20201229,20201229,UT,164,,16
269,2255,530,98,98,98,VA20201229,20201229,VA,539,326,59
4,4,4,2,2,2,VI20201229,20201229,VI,,,0
10,35,6,17,17,17,VT20201229,20201229,VT,6,,1
103,1036,252,95,95,95,WA20201229,20201229,WA,265,105,11
222,1171,274,145,145,145,WI20201229,20201229,WI,249,,92
110,828,218,59,59,59,WV20201229,20201229,WV,213,98,21
33,122,28,30,30,30,WY20201229,20201229,WY,,,0
8,71,18,23,23,23,AK20201228,20201228,AK,,10,0
366,2832,732,106,106,106,AL20201228,20201228,AL,,,21
153,1058,323,92,92,92,AR20201228,20201228,AR,380,201,55
499,4019,982,103,103,103,AZ20201228,20201228,AZ,1007,715,42
2216,20399,4382,383,382,382,CA20201228,20201228,CA,4360,,64
129,1107,329,95,95,95,CO20201228,20201228,CO,,,21
139,1243,228,33,33,33,CT20201228,20201228,CT,,,113
33,273,70,14,14,14,DC20201228,20201228,DC,71,35,3
43,471,60,10,10,10,DE20201228,20201228,DE,60,,1
856,6171,1304,231,231,231,FL20201228,20201228,FL,,,99
671,4397,1069,154,154,154,GA20201228,20201228,GA,,,7
10,82,15,24,24,24,HI20201228,20201228,HI,23,18,0
83,613,115,122,122,122,IA20201228,20201228,IA,111,60,0
47,372,85,48,48,48,ID20201228,20201228,ID,95,,0
421,3761,832,189,189,189,IL20201228,20201228,IL,884,515,134
452,2611,647,137,137,137,IN20201228,20201228,IN,632,364,43
109,920,257,141,141,141,KS20201228,20201228,KS,117,68,41
455,1561,394,104,104,104,KY20201228,20201228,KY,411,217,8
219,2398,473,216,221,221,LA20201228,20201228,LA,,201,45
229,1886,428,79,79,79,MA20201228,20201228,MA,430,234,48
176,1635,400,52,52,52,MD20201228,20201228,MD,423,,28
8,199,56,37,37,37,ME20201228,20201228,ME,48,14,3
269,2543,632,158,158,158,MI20201228,20201228,MI,662,407,64
119,981,220,132,132,132,MN20201228,20201228,MN,203,,13
254,2417,654,125,125,125,MO20201228,20201228,MO,627,334,4
141,1209,299,101,101,101,MS20201228,20201228,MS,321,193,28
34,221,49,67,67,67,MT20201228,20201228,MT,43,21,3
368,3059,780,118,118,118,NC20201228,20201228,NC,733,,12
21,191,39,47,47,47,ND20201228,20201228,ND,18,,0
39,529,133,100,100,100,NE20201228,20201228,NE,,,0
45,277,55,28,28,28,NH20201228,20201228,NH,,,7
353,3650,685,78,78,78,NJ20201228,20201228,NJ,704,499,21
111,713,202,54,54,54,NM20201228,20201228,NM,,,34
158,1905,430,61,61,61,NV20201228,20201228,NV,427,283,21
850,7943,1255,180,180,180,NY20201228,20201228,NY,1222,717,118
577,4573,1108,202,202,202,OH20201228,20201228,OH,1108,729,62
370,1973,533,144,144,144,OK20201228,20201228,OK,451,,13
56,493,104,63,63,63,OR20201228,20201228,OR,109,59,5
607,6177,1298,191,191,191,PA20201228,20201228,PA,1174,715,76
25,336,78,68,68,68,PR20201228,20201228,PR,81,93,11
22,384,55,15,15,15,RI20201228,20201228,RI,54,47,3
211,1755,368,70,70,70,SC20201228,20201228,SC,380,175,18
26,274,54,63,63,63,SD20201228,20201228,SD,60,35,0
377,3101,797,115,115,115,TN20201228,20201228,TN,797,485,76
1604,11680,3044,587,587,587,TX20201228,20201228,TX,2969,,49
69,504,156,53,53,53,UT20201228,20201228,UT,168,,5
225,2232,532,97,97,97,VA20201228,20201228,VA,526,321,7
0,1,1,2,2,2,VI20201228,20201228,VI,,,0
1,24,5,17,17,17,VT20201228,20201228,VT,5,,2
92,1068,238,95,95,95,WA20201228,20201228,WA,243,90,0
205,1205,263,145,144,144,WI20201228,20201228,WI,237,,21
80,788,219,59,59,59,WV20201228,20201228,WV,200,91,9
18,119,33,30,30,30,WY20201228,20201228,WY,,,32
13,71,17,24,24,24,AK20201227,20201227,AK,,9,0
418,2754,732,115,115,115,AL20201227,20201227,AL,,,6
142,1047,313,108,108,108,AR20201227,20201227,AR,365,186,41
484,4013,940,123,123,123,AZ20201227,20201227,AZ,988,667,3
2287,19950,4327,415,414,414,CA20201227,20201227,CA,4214,,237
153,1126,338,104,104,104,CO20201227,20201227,CO,,,18
132,1234,236,40,40,40,CT20201227,20201227,CT,,,0
20,258,69,14,14,14,DC20201227,20201227,DC,65,32,6
50,489,63,16,16,16,DE20201227,20201227,DE,64,,2
910,5939,1264,268,268,268,FL20201227,20201227,FL,,,77
678,4229,1025,170,170,170,GA20201227,20201227,GA,,,4
9,83,14,26,26,26,HI20201227,20201227,HI,11,10,0
74,581,112,126,126,126,IA20201227,20201227,IA,109,65,1
48,364,93,52,52,52,ID20201227,20201227,ID,95,,5
443,3705,829,206,206,206,IL20201227,20201227,IL,905,497,112
347,2598,638,165,165,165,IN20201227,20201227,IN,638,360,42
162,914,234,150,150,150,KS20201227,20201227,KS,255,119,0
436,1505,394,124,124,124,KY20201227,20201227,KY,411,217,21
229,2334,459,216,221,221,LA20201227,20201227,LA,,191,19
283,1922,427,102,102,102,MA20201227,20201227,MA,416,230,100
218,1639,413,59,59,59,MD20201227,20201227,MD,418,,32
16,201,58,39,39,39,ME20201227,20201227,ME,56,16,4
207,2553,642,162,162,162,MI20201227,20201227,MI,738,416,0
105,948,217,140,140,140,MN20201227,20201227,MN,238,,40
266,2331,652,140,140,140,MO20201227,20201227,MO,659,349,3
143,1167,296,109,109,109,MS20201227,20201227,MS,339,195,41
41,218,45,67,67,67,MT20201227,20201227,MT,44,22,5
361,2948,752,132,132,132,NC20201227,20201227,NC,721,,23
23,185,41,50,50,50,ND20201227,20201227,ND,17,,0
48,522,136,101,101,101,NE20201227,20201227,NE,,,1
26,262,59,30,30,30,NH20201227,20201227,NH,,,7
403,3621,653,96,96,96,NJ20201227,20201227,NJ,686,487,17
145,715,194,55,55,55,NM20201227,20201227,NM,,,30
151,1883,440,63,63,63,NV20201227,20201227,NV,442,298,8
1001,7721,1258,205,205,205,NY20201227,20201227,NY,1187,687,115
547,4461,1097,230,230,230,OH20201227,20201227,OH,1083,731,33
367,1929,518,152,152,152,OK20201227,20201227,OK,451,,13
60,485,97,64,64,64,OR20201227,20201227,OR,109,59,0
609,6239,1286,228,228,228,PA20201227,20201227,PA,1145,747,127
14,354,83,68,68,68,PR20201227,20201227,PR,89,85,13
26,413,55,15,15,15,RI20201227,20201227,RI,49,35,7
263,1791,376,87,87,87,SC20201227,20201227,SC,365,177,31
24,266,56,65,65,65,SD20201227,20201227,SD,62,29,0
348,2967,760,112,112,112,TN20201227,20201227,TN,799,462,69
1546,11331,2985,590,590,590,TX20201227,20201227,TX,2856,,51
85,498,154,59,59,59,UT20201227,20201227,UT,166,,2
213,2158,519,107,107,107,VA20201227,20201227,VA,514,318,14
0,2,2,2,2,2,VI20201227,20201227,VI,,,0
4,30,5,17,17,17,VT20201227,20201227,VT,2,,6
114,1050,221,105,105,105,WA20201227,20201227,WA,243,90,0
216,1194,266,148,147,147,WI20201227,20201227,WI,240,,10
92,762,204,63,63,63,WV20201227,20201227,WV,186,89,1
18,117,32,31,31,31,WY20201227,20201227,WY,,,0
10,66,15,24,24,24,AK20201226,20201226,AK,,10,1
342,2642,724,116,116,116,AL20201226,20201226,AL,,,5
144,1018,313,108,108,108,AR20201226,20201226,AR,364,173,3
462,3880,931,122,122,122,AZ20201226,20201226,AZ,983,652,15
2095,19407,4207,416,415,415,CA20201226,20201226,CA,4131,,36
141,1055,339,104,104,104,CO20201226,20201226,CO,,,6
161,1210,230,40,40,40,CT20201226,20201226,CT,,,0
15,253,64,14,14,13,DC20201226,20201226,DC,70,26,6
32,462,60,16,16,16,DE20201226,20201226,DE,55,,4
787,5771,1240,268,268,268,FL20201226,20201226,FL,,,142
632,4037,986,170,170,170,GA20201226,20201226,GA,,,54
7,75,14,26,26,26,HI20201226,20201226,HI,11,10,0
68,547,112,126,126,126,IA20201226,20201226,IA,114,63,0
44,353,94,52,52,52,ID20201226,20201226,ID,106,,0
329,3631,822,206,206,206,IL20201226,20201226,IL,874,494,70
259,2509,641,165,165,165,IN20201226,20201226,IN,636,352,31
111,873,244,150,150,150,KS20201226,20201226,KS,255,119,0
393,1483,400,124,124,124,KY20201226,20201226,KY,396,237,68
140,2249,433,216,221,221,LA20201226,20201226,LA,,199,0
262,1866,411,102,102,102,MA20201226,20201226,MA,416,232,47
189,1600,391,59,59,59,MD20201226,20201226,MD,424,,21
11,191,61,39,39,39,ME20201226,20201226,ME,56,16,0
253,2553,671,162,162,162,MI20201226,20201226,MI,738,416,275
111,931,225,140,140,140,MN20201226,20201226,MN,238,,57
236,2306,640,140,140,140,MO20201226,20201226,MO,685,377,1
125,1121,289,109,109,109,MS20201226,20201226,MS,339,195,3
27,205,47,67,67,67,MT20201226,20201226,MT,46,21,3
312,2909,752,132,132,132,NC20201226,20201226,NC,714,,166
20,185,44,50,50,50,ND20201226,20201226,ND,21,,4
38,495,141,101,101,101,NE20201226,20201226,NE,,,-10
