timestep,n_Presenting,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_OffVentInICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
62.00,17.55,25.55,25.10,21.55,11.55,17.55,14.55,15.55,13.00,3.00,3.00,3.00,3.00
63.00,16.00,25.00,22.00,21.55,11.00,16.00,15.55,12.00,12.00,3.55,4.00,3.00,3.00
64.00,17.55,27.00,25.00,22.55,12.55,17.55,15.00,13.55,13.55,3.00,3.00,3.00,2.00
65.00,15.55,26.00,25.10,22.10,12.55,15.55,15.55,15.00,12.55,3.00,3.00,2.55,3.00
66.00,16.00,25.00,23.00,22.10,13.10,16.00,15.55,13.55,13.55,3.00,3.00,3.00,2.55
67.00,15.55,27.00,23.00,22.00,12.55,15.55,14.00,13.55,12.55,3.55,3.00,3.00,2.00
68.00,17.55,24.00,24.10,21.55,11.55,17.55,14.00,15.55,12.55,3.00,3.00,4.55,2.00
69.00,15.00,26.00,23.00,22.00,11.00,15.00,15.55,14.00,13.00,3.00,3.00,2.00,2.55
70.00,16.00,26.00,22.55,23.00,12.00,16.00,14.00,13.10,14.00,3.00,3.00,3.00,3.00
71.00,15.55,26.55,23.00,20.55,12.55,15.55,14.00,13.00,11.00,3.00,3.00,3.00,3.55
72.00,16.00,24.00,22.55,21.00,13.00,16.00,14.00,14.55,12.00,3.00,3.55,2.55,2.00
73.00,16.00,26.55,22.00,22.65,11.00,16.00,15.00,12.00,12.55,4.00,3.55,3.00,3.00
74.00,18.55,27.10,23.10,21.00,12.00,18.55,16.00,14.00,13.00,4.00,3.00,3.00,2.00
75.00,16.00,27.65,24.00,21.55,11.00,16.00,17.00,14.55,14.00,4.00,3.00,3.00,3.00
76.00,17.00,26.00,23.55,23.00,11.00,17.00,15.00,14.00,14.00,3.00,3.00,2.00,2.55
77.00,15.55,26.10,22.00,22.00,12.55,15.55,16.00,12.00,14.00,3.00,3.00,2.00,3.00
78.00,17.10,26.00,22.00,21.55,11.55,17.10,14.00,14.00,13.00,3.00,4.00,3.00,3.00
79.00,16.00,26.00,24.00,20.00,12.55,16.00,15.55,13.00,12.00,3.55,3.00,3.00,3.00
80.00,15.00,27.55,24.55,22.00,11.55,15.00,15.55,14.55,15.00,3.00,3.00,3.00,2.55
81.00,15.00,26.00,23.55,21.55,13.00,15.00,15.00,14.00,13.00,3.00,3.00,2.55,2.00
82.00,16.00,24.55,23.00,20.55,11.00,16.00,13.55,14.00,13.00,3.00,3.00,3.00,3.00
83.00,16.00,25.55,23.55,21.55,12.55,16.00,14.55,13.55,12.55,3.00,3.55,3.00,2.00
84.00,16.00,24.55,22.00,21.55,12.55,16.00,15.00,13.55,12.55,4.00,3.00,2.00,2.00
85.00,17.00,25.55,21.55,21.00,10.55,17.00,15.00,12.00,12.00,3.00,3.00,2.00,3.00
86.00,16.00,26.55,23.55,21.55,11.00,16.00,14.55,15.00,11.55,3.00,2.00,2.55,3.00
87.00,15.55,25.00,23.00,21.55,12.00,15.55,15.00,14.00,13.10,3.00,4.00,3.00,3.00
88.00,15.55,25.10,23.00,21.55,11.00,15.55,14.00,14.00,12.00,3.00,3.00,3.55,3.00
89.00,17.00,26.55,22.55,22.10,12.00,17.00,14.55,14.00,13.00,3.00,3.00,3.00,3.00
90.00,15.00,26.00,22.00,21.55,12.00,15.00,15.55,13.00,12.55,3.00,3.00,3.00,3.00
91.00,16.00,26.10,25.10,20.00,11.00,16.00,14.00,14.55,13.00,4.00,4.00,3.00,3.00
92.00,16.55,25.55,24.65,20.00,12.00,16.55,15.55,14.10,13.00,3.00,3.00,3.00,2.00
93.00,16.00,27.55,25.00,21.55,11.55,16.00,15.55,13.55,13.55,3.00,3.00,3.00,3.00
94.00,16.00,27.10,24.00,22.55,12.00,16.00,14.55,14.00,13.00,3.00,3.00,2.55,3.55
95.00,15.55,25.00,24.55,21.55,12.00,15.55,16.00,14.00,13.55,3.00,2.55,3.00,2.00
96.00,17.00,25.00,24.55,24.00,12.00,17.00,14.10,14.00,13.55,3.00,3.00,2.00,2.55
97.00,16.00,26.65,24.10,22.00,11.00,16.00,16.55,15.00,13.00,3.00,3.00,3.00,2.00
98.00,17.55,25.55,23.55,21.55,13.10,17.55,15.00,14.00,12.00,3.55,3.00,3.00,3.00
