timestep,n_Presenting,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_OffVentInICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00
1.00,10.00,5.00,10.00,9.00,5.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00
2.00,10.00,12.00,7.00,9.00,4.00,10.00,9.00,2.00,4.00,1.00,0.00,0.00,0.00
3.00,10.00,15.00,9.00,8.00,4.00,10.00,9.00,6.00,3.00,1.00,0.00,0.00,0.00
4.00,10.00,17.00,11.00,8.00,4.00,10.00,9.00,6.00,4.00,1.00,0.00,0.00,0.00
5.00,10.00,17.00,13.00,9.00,4.00,10.00,9.00,8.00,5.00,1.00,1.00,0.00,0.00
6.00,10.00,18.00,13.00,11.00,4.00,10.00,9.00,8.00,6.00,1.00,0.00,0.00,0.00
7.00,10.00,17.00,15.00,11.00,5.00,10.00,9.00,8.00,6.00,1.00,0.00,1.00,0.00
8.00,10.00,18.00,15.00,13.00,5.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
9.00,10.00,17.00,16.00,13.00,6.00,10.00,8.00,8.00,7.00,1.00,1.00,1.00,0.00
10.00,9.00,17.00,16.00,15.00,6.00,9.00,9.00,8.00,8.00,1.00,0.00,1.00,0.00
11.00,10.00,17.00,16.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
12.00,10.00,18.00,15.00,14.00,7.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,1.00
13.00,10.00,19.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,1.00
14.00,10.00,18.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
15.00,10.00,18.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,1.00
16.00,10.00,18.00,17.00,13.00,7.00,10.00,9.00,8.00,7.00,1.00,0.00,1.00,1.00
17.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,9.00,8.00,1.00,1.00,1.00,1.00
18.00,10.00,18.00,16.00,14.00,7.00,10.00,10.00,8.00,7.00,1.00,1.00,1.00,1.00
19.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
