timestep,n_Presenting,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_OffVentInICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
20.00,11.00,18.00,16.00,15.00,7.00,11.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
21.00,10.00,18.00,15.00,15.00,7.00,10.00,10.00,8.00,7.00,1.00,1.00,0.00,1.00
22.00,10.00,17.00,17.00,14.00,6.00,10.00,9.00,9.00,7.00,1.00,1.00,0.00,1.00
23.00,10.00,17.00,15.00,15.00,6.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,0.00
24.00,10.00,16.00,16.00,15.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
25.00,10.00,17.00,15.00,15.00,7.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,1.00
26.00,10.00,17.00,15.00,13.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,0.00
27.00,9.00,17.00,16.00,14.00,7.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
28.00,10.00,16.00,15.00,14.00,7.00,10.00,8.00,7.00,7.00,1.00,1.00,1.00,0.00
29.00,10.00,18.00,15.00,13.00,6.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,0.00
30.00,10.00,17.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
31.00,10.00,18.00,15.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
32.00,9.00,18.00,15.00,14.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
33.00,11.00,18.00,16.00,14.00,6.00,11.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
34.00,10.00,18.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
35.00,10.00,17.00,17.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
36.00,10.00,17.00,16.00,14.00,7.00,10.00,8.00,8.00,8.00,1.00,1.00,0.00,0.00
37.00,10.00,18.00,16.00,15.00,6.00,10.00,9.00,8.00,8.00,1.00,0.00,1.00,1.00
38.00,9.00,18.00,15.00,15.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
39.00,10.00,17.00,15.00,14.00,7.00,10.00,8.00,8.00,7.00,1.00,1.00,1.00,1.00
40.00,10.00,18.00,15.00,14.00,7.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,1.00
41.00,11.00,18.00,16.00,14.00,7.00,11.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
42.00,10.00,18.00,16.00,14.00,6.00,10.00,10.00,9.00,8.00,1.00,1.00,1.00,0.00
43.00,10.00,18.00,16.00,14.00,6.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,0.00
44.00,10.00,17.00,16.00,15.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,0.00
45.00,9.00,18.00,16.00,15.00,6.00,9.00,10.00,8.00,8.00,1.00,1.00,1.00,1.00
46.00,10.00,18.00,16.00,14.00,7.00,10.00,8.00,8.00,7.00,1.00,1.00,1.00,1.00
47.00,10.00,18.00,16.00,15.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
48.00,9.00,17.00,16.00,14.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
49.00,10.00,17.00,16.00,13.00,7.00,10.00,8.00,8.00,7.00,1.00,1.00,1.00,1.00
50.00,10.00,17.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,0.00
51.00,9.00,17.00,15.00,14.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
52.00,10.00,17.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
53.00,10.00,18.00,15.00,13.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,1.00
54.00,9.00,17.00,16.00,14.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,0.00,1.00
55.00,10.00,17.00,15.00,14.00,6.00,10.00,8.00,8.00,7.00,1.00,1.00,1.00,1.00
56.00,10.00,17.00,16.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
57.00,10.00,17.00,15.00,15.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
58.00,10.00,17.00,15.00,15.00,7.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,1.00
59.00,10.00,17.00,15.00,15.00,6.00,10.00,9.00,8.00,8.00,1.00,1.00,0.00,1.00
60.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,9.00,7.00,1.00,1.00,1.00,0.00
61.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
62.00,10.00,17.00,16.00,15.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
63.00,10.00,18.00,16.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
64.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,1.00
65.00,10.00,17.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,1.00
66.00,10.00,18.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
67.00,10.00,18.00,15.00,13.00,7.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,0.00
68.00,10.00,17.00,16.00,13.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
69.00,10.00,17.00,16.00,15.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
70.00,10.00,17.00,15.00,14.00,7.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,0.00
71.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,1.00
72.00,10.00,18.00,15.00,13.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
73.00,9.00,19.00,15.00,14.00,6.00,9.00,9.00,7.00,7.00,1.00,1.00,1.00,0.00
74.00,10.00,17.00,16.00,14.00,7.00,10.00,8.00,8.00,7.00,1.00,1.00,0.00,1.00
75.00,10.00,17.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
76.00,9.00,17.00,16.00,14.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
77.00,10.00,17.00,15.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
78.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
79.00,10.00,18.00,15.00,13.00,7.00,10.00,9.00,8.00,6.00,1.00,1.00,1.00,1.00
80.00,10.00,18.00,16.00,13.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
81.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
82.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,1.00
83.00,10.00,16.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
84.00,9.00,18.00,15.00,14.00,6.00,9.00,9.00,7.00,7.00,1.00,1.00,1.00,1.00
85.00,10.00,18.00,16.00,15.00,6.00,10.00,8.00,8.00,7.00,1.00,1.00,1.00,1.00
86.00,10.00,18.00,15.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
87.00,10.00,18.00,16.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
88.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
89.00,10.00,18.00,16.00,15.00,6.00,10.00,10.00,8.00,7.00,1.00,1.00,1.00,0.00
90.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
91.00,10.00,18.00,16.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
92.00,10.00,17.00,17.00,15.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
93.00,9.00,18.00,15.00,15.00,7.00,9.00,9.00,8.00,8.00,1.00,1.00,1.00,1.00
94.00,9.00,17.00,16.00,15.00,6.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
95.00,9.00,18.00,15.00,14.00,7.00,9.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
96.00,10.00,17.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,0.00,1.00
97.00,10.00,16.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
98.00,10.00,17.00,16.00,13.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
99.00,10.00,17.00,16.00,13.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
100.00,10.00,18.00,16.00,14.00,6.00,10.00,10.00,8.00,7.00,1.00,1.00,1.00,1.00
101.00,10.00,19.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
102.00,10.00,17.00,17.00,14.00,6.00,10.00,9.00,9.00,7.00,1.00,1.00,1.00,0.00
103.00,10.00,17.00,16.00,15.00,6.00,10.00,9.00,8.00,8.00,1.00,1.00,1.00,1.00
104.00,10.00,17.00,16.00,15.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
105.00,10.00,18.00,15.00,14.00,7.00,10.00,9.00,7.00,7.00,1.00,1.00,1.00,1.00
106.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
107.00,10.00,18.00,15.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
108.00,10.00,18.00,16.00,14.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
109.00,10.00,18.00,15.00,13.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
110.00,9.00,17.00,16.00,13.00,6.00,9.00,9.00,9.00,7.00,1.00,1.00,1.00,1.00
111.00,10.00,17.00,17.00,13.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
112.00,9.00,17.00,16.00,14.00,6.00,9.00,9.00,8.00,8.00,1.00,1.00,1.00,0.00
113.00,10.00,17.00,16.00,14.00,7.00,10.00,8.00,8.00,7.00,1.00,1.00,0.00,1.00
114.00,10.00,17.00,15.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,0.00
115.00,10.00,17.00,16.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
116.00,9.00,17.00,16.00,13.00,7.00,9.00,9.00,8.00,6.00,1.00,1.00,0.00,0.00
117.00,9.00,16.00,16.00,14.00,5.00,9.00,8.00,8.00,7.00,1.00,1.00,1.00,0.00
118.00,10.00,17.00,16.00,14.00,7.00,10.00,8.00,7.00,7.00,1.00,1.00,1.00,1.00
119.00,10.00,17.00,15.00,14.00,7.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
120.00,10.00,17.00,15.00,13.00,6.00,10.00,9.00,8.00,7.00,1.00,1.00,1.00,1.00
