timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
78.00,5.00,9.45,6.45,7.00,3.00,6.00,4.00,3.45,4.00,6.00,4.00,3.45,4.00
79.00,5.00,11.45,8.00,8.45,2.00,6.00,5.45,3.00,2.45,6.00,5.45,3.00,2.45
80.00,4.00,10.00,9.00,8.00,2.00,4.45,5.00,4.45,3.00,4.45,5.00,4.45,3.00
81.00,5.00,9.00,8.45,6.90,2.00,5.45,4.45,3.45,2.45,5.45,4.45,3.45,2.45
82.00,4.00,11.00,9.00,8.00,2.45,5.00,5.00,4.00,4.00,5.00,5.00,4.00,4.00
83.00,4.00,10.00,8.90,8.00,2.00,5.00,4.00,4.00,3.45,5.00,4.00,4.00,3.45
84.00,3.90,8.90,8.45,7.45,2.00,5.00,4.00,4.00,3.00,5.00,4.00,4.00,3.00
85.00,4.00,8.00,10.00,7.00,1.00,4.45,5.00,4.45,2.45,4.45,5.00,4.45,2.45
86.00,4.45,10.00,7.45,7.00,2.00,5.00,5.00,3.45,3.45,5.00,5.00,3.45,3.45
87.00,4.00,11.00,8.45,6.45,2.00,6.00,4.00,2.45,2.45,6.00,4.00,2.45,2.45
88.00,5.00,11.00,8.90,6.45,3.00,5.00,4.00,4.45,3.00,5.00,4.00,4.45,3.00
89.00,4.45,11.00,9.00,7.45,3.00,5.45,4.45,3.45,3.00,5.45,4.45,3.45,3.00
90.00,4.00,11.00,9.00,9.00,1.45,6.00,5.00,4.00,3.45,6.00,5.00,4.00,3.45
91.00,4.45,9.00,10.00,8.45,2.00,6.00,5.00,5.00,2.45,6.00,5.00,5.00,2.45
92.00,5.00,9.45,10.00,7.00,2.45,6.00,4.00,4.00,3.00,6.00,4.00,4.00,3.00
93.00,3.00,10.00,7.00,7.45,2.00,4.45,4.00,3.00,3.00,4.45,4.00,3.00,3.00
