timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,355.00,90.00,85.00,2.50,15.00,0.00,0.00
1.00,415.00,100.00,85.00,5.00,20.00,0.00,0.00
2.00,500.00,105.00,85.00,5.00,30.00,0.00,0.00
3.00,570.00,115.00,85.00,5.00,30.00,0.00,0.00
4.00,620.00,125.00,85.00,5.00,40.00,0.00,0.00
5.00,690.00,140.00,85.00,10.00,45.00,0.00,0.00
6.00,782.50,155.00,85.00,10.00,50.00,0.00,0.00
7.00,862.50,170.00,85.00,10.00,55.00,0.00,0.00
8.00,930.00,190.00,85.00,10.00,65.00,0.00,0.00
9.00,965.00,210.00,85.00,10.00,65.00,0.00,0.00
10.00,1015.00,230.00,85.00,10.00,75.00,0.00,0.00
11.00,1055.00,245.00,85.00,10.00,75.00,0.00,0.00
12.00,1070.00,270.00,85.00,10.00,80.00,0.00,0.00
13.00,1107.50,290.00,92.50,10.00,85.00,0.00,0.00
14.00,1125.00,310.00,95.00,10.00,85.00,0.00,0.00
15.00,1155.00,335.00,100.00,10.00,90.00,0.00,0.00
16.00,1165.00,355.00,110.00,10.00,90.00,0.00,0.00
17.00,1190.00,375.00,115.00,10.00,95.00,0.00,0.00
18.00,1240.00,390.00,120.00,10.00,95.00,0.00,0.00
19.00,1247.50,410.00,135.00,10.00,95.00,0.00,0.00
20.00,1320.00,425.00,145.00,10.00,100.00,0.00,0.00
21.00,1420.00,440.00,160.00,10.00,105.00,0.00,0.00
22.00,1482.50,460.00,170.00,15.00,110.00,0.00,0.00
23.00,1545.00,480.00,180.00,15.00,110.00,0.00,0.00
24.00,1605.00,500.00,190.00,15.00,120.00,0.00,0.00
25.00,1640.00,525.00,200.00,15.00,125.00,0.00,0.00
26.00,1675.00,542.50,210.00,20.00,125.00,0.00,0.00
27.00,1757.50,562.50,230.00,20.00,130.00,0.00,0.00
28.00,1902.50,575.00,240.00,20.00,135.00,0.00,0.00
29.00,2005.00,602.50,255.00,20.00,140.00,0.00,0.00
30.00,2120.00,625.00,265.00,20.00,150.00,0.00,0.00
31.00,2237.50,650.00,280.00,25.00,160.00,0.00,0.00
32.00,2280.00,675.00,295.00,25.00,160.00,0.00,0.00
33.00,2305.00,705.00,305.00,25.00,170.00,0.00,0.00
34.00,2335.00,735.00,320.00,25.00,175.00,0.00,0.00
35.00,2412.50,770.00,335.00,30.00,180.00,0.00,0.00
36.00,2502.50,790.00,345.00,30.00,190.00,0.00,0.00
37.00,2527.50,825.00,362.50,30.00,195.00,0.00,0.00
38.00,2572.50,855.00,375.00,30.00,195.00,0.00,0.00
39.00,2645.00,885.00,390.00,30.00,200.00,0.00,0.00
40.00,2585.00,905.00,400.00,32.50,205.00,0.00,0.00
41.00,2610.00,935.00,415.00,35.00,205.00,0.00,0.00
42.00,2675.00,955.00,435.00,35.00,205.00,0.00,0.00
43.00,2705.00,985.00,452.50,40.00,205.00,0.00,0.00
44.00,2730.00,1010.00,470.00,35.00,215.00,0.00,0.00
45.00,2740.00,1040.00,482.50,40.00,210.00,0.00,0.00
46.00,2772.50,1057.50,500.00,40.00,220.00,0.00,0.00
47.00,2750.00,1072.50,520.00,40.00,215.00,0.00,0.00
48.00,2770.00,1085.00,535.00,40.00,220.00,0.00,0.00
