timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,320.00,75.00,95.00,25.00,25.00,0.00,0.00
1.00,355.00,70.00,100.00,30.00,35.00,0.00,0.00
2.00,415.00,65.00,95.00,35.00,45.00,0.00,0.00
3.00,450.00,65.00,90.00,35.00,55.00,0.00,0.00
4.00,465.00,70.00,85.00,30.00,60.00,0.00,0.00
5.00,500.00,75.00,85.00,30.00,65.00,0.00,0.00
6.00,565.00,80.00,85.00,30.00,70.00,0.00,0.00
7.00,610.00,85.00,90.00,25.00,75.00,0.00,0.00
8.00,640.00,90.00,95.00,25.00,80.00,0.00,0.00
9.00,640.00,100.00,100.00,30.00,86.25,0.00,0.00
10.00,655.00,105.00,105.00,30.00,90.00,0.00,0.00
11.00,660.00,105.00,110.00,35.00,95.00,0.00,0.00
12.00,650.00,105.00,120.00,35.00,100.00,0.00,0.00
13.00,660.00,105.00,120.00,35.00,105.00,0.00,0.00
14.00,655.00,100.00,120.00,35.00,100.00,0.00,0.00
15.00,675.00,100.00,120.00,40.00,105.00,0.00,0.00
16.00,660.00,101.25,120.00,40.00,105.00,0.00,0.00
17.00,680.00,100.00,120.00,40.00,100.00,0.00,0.00
18.00,720.00,105.00,125.00,35.00,105.00,0.00,0.00
19.00,720.00,105.00,125.00,40.00,105.00,0.00,0.00
20.00,775.00,110.00,125.00,40.00,110.00,0.00,0.00
21.00,855.00,115.00,130.00,40.00,110.00,0.00,0.00
22.00,905.00,125.00,130.00,40.00,115.00,0.00,0.00
23.00,945.00,135.00,135.00,40.00,125.00,0.00,0.00
24.00,975.00,145.00,145.00,40.00,130.00,0.00,0.00
25.00,990.00,150.00,155.00,45.00,135.00,0.00,0.00
26.00,995.00,155.00,165.00,45.00,145.00,0.00,0.00
27.00,1045.00,155.00,175.00,50.00,150.00,0.00,0.00
28.00,1150.00,155.00,175.00,55.00,150.00,0.00,0.00
29.00,1220.00,165.00,181.25,55.00,155.00,0.00,0.00
30.00,1290.00,180.00,185.00,55.00,165.00,0.00,0.00
31.00,1370.00,195.00,190.00,60.00,175.00,0.00,0.00
32.00,1370.00,205.00,205.00,60.00,185.00,0.00,0.00
33.00,1340.00,215.00,220.00,60.00,195.00,0.00,0.00
34.00,1325.00,215.00,230.00,65.00,200.00,0.00,0.00
35.00,1375.00,205.00,240.00,70.00,200.00,0.00,0.00
36.00,1425.00,205.00,245.00,75.00,205.00,0.00,0.00
37.00,1425.00,205.00,245.00,75.00,205.00,0.00,0.00
38.00,1450.00,215.00,245.00,75.00,205.00,0.00,0.00
39.00,1475.00,220.00,250.00,75.00,210.00,0.00,0.00
40.00,1400.00,220.00,255.00,75.00,215.00,0.00,0.00
41.00,1400.00,220.00,260.00,75.00,215.00,0.00,0.00
42.00,1440.00,215.00,260.00,75.00,215.00,0.00,0.00
43.00,1460.00,210.00,260.00,80.00,215.00,0.00,0.00
44.00,1475.00,215.00,260.00,80.00,215.00,0.00,0.00
45.00,1470.00,220.00,255.00,80.00,215.00,0.00,0.00
46.00,1485.00,225.00,260.00,75.00,215.00,0.00,0.00
47.00,1450.00,225.00,260.00,75.00,220.00,0.00,0.00
48.00,1460.00,225.00,265.00,75.00,220.00,0.00,0.00
49.00,1515.00,220.00,265.00,80.00,225.00,0.00,0.00
50.00,1580.00,225.00,265.00,80.00,225.00,0.00,0.00
51.00,1610.00,230.00,265.00,80.00,225.00,0.00,0.00
52.00,1575.00,240.00,265.00,80.00,230.00,0.00,0.00
53.00,1555.00,245.00,275.00,80.00,230.00,0.00,0.00
54.00,1495.00,240.00,280.00,80.00,240.00,0.00,0.00
55.00,1545.00,235.00,285.00,81.25,235.00,0.00,0.00
56.00,1545.00,225.00,280.00,85.00,235.00,0.00,0.00
57.00,1555.00,230.00,280.00,85.00,230.00,0.00,0.00
58.00,1555.00,230.00,275.00,85.00,230.00,0.00,0.00
59.00,1545.00,235.00,275.00,85.00,230.00,0.00,0.00
60.00,1495.00,235.00,275.00,80.00,230.00,0.00,0.00
61.00,1410.00,230.00,280.00,80.00,230.00,0.00,0.00
62.00,1420.00,220.00,280.00,85.00,225.00,0.00,0.00
63.00,1495.00,210.00,275.00,80.00,225.00,0.00,0.00
64.00,1540.00,210.00,270.00,80.00,220.00,0.00,0.00
65.00,1565.00,220.00,265.00,80.00,220.00,0.00,0.00
66.00,1560.00,235.00,260.00,80.00,225.00,0.00,0.00
67.00,1520.00,240.00,265.00,80.00,225.00,0.00,0.00
68.00,1450.00,235.00,270.00,80.00,230.00,0.00,0.00
69.00,1420.00,230.00,275.00,80.00,230.00,0.00,0.00
70.00,1395.00,215.00,275.00,80.00,225.00,0.00,0.00
71.00,1365.00,210.00,275.00,80.00,220.00,0.00,0.00
72.00,1375.00,205.00,265.00,80.00,215.00,0.00,0.00
73.00,1350.00,200.00,260.00,80.00,210.00,0.00,0.00
74.00,1300.00,200.00,250.00,75.00,206.25,0.00,0.00
75.00,1230.00,200.00,250.00,75.00,205.00,0.00,0.00
76.00,1216.25,191.25,245.00,75.00,200.00,0.00,0.00
77.00,1226.25,185.00,240.00,70.00,195.00,0.00,0.00
78.00,1230.00,180.00,235.00,70.00,190.00,0.00,0.00
79.00,1220.00,185.00,230.00,70.00,185.00,0.00,0.00
80.00,1205.00,185.00,225.00,70.00,185.00,0.00,0.00
81.00,1145.00,180.00,220.00,65.00,185.00,0.00,0.00
82.00,1105.00,180.00,220.00,65.00,180.00,0.00,0.00
83.00,1065.00,170.00,220.00,65.00,180.00,0.00,0.00
84.00,1050.00,165.00,215.00,65.00,175.00,0.00,0.00
85.00,1050.00,160.00,210.00,65.00,170.00,0.00,0.00
86.00,1050.00,155.00,205.00,60.00,165.00,0.00,0.00
87.00,1060.00,155.00,195.00,60.00,160.00,0.00,0.00
88.00,1030.00,160.00,190.00,60.00,160.00,0.00,0.00
89.00,965.00,160.00,190.00,60.00,155.00,0.00,0.00
90.00,940.00,155.00,190.00,55.00,155.00,0.00,0.00
91.00,905.00,145.00,190.00,55.00,155.00,0.00,0.00
92.00,875.00,140.00,185.00,55.00,150.00,0.00,0.00
