timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,285.00,55.00,80.00,10.00,10.00,0.00,0.00
1.00,315.00,45.00,75.00,15.00,20.00,0.00,0.00
2.00,370.00,40.00,75.00,20.00,25.00,0.00,0.00
3.00,405.00,45.00,65.00,20.00,35.00,0.00,0.00
4.00,425.00,50.00,60.00,15.00,40.00,0.00,0.00
5.00,460.00,50.00,60.00,15.00,45.00,0.00,0.00
6.00,520.00,55.00,60.00,15.00,45.00,0.00,0.00
7.00,565.00,60.00,65.00,15.00,55.00,0.00,0.00
8.00,590.00,65.00,65.00,15.00,55.00,0.00,0.00
9.00,590.00,75.00,70.00,15.00,60.00,0.00,0.00
10.00,605.00,75.00,75.00,15.00,65.00,0.00,0.00
11.00,610.00,75.00,85.00,20.00,70.00,0.00,0.00
12.00,600.00,75.00,90.00,20.00,70.00,0.00,0.00
13.00,610.00,75.00,90.00,20.00,75.00,0.00,0.00
14.00,605.00,75.00,95.00,20.00,75.00,0.00,0.00
15.00,620.00,75.00,90.00,20.00,75.00,0.00,0.00
16.00,610.00,75.00,90.00,20.00,75.00,0.00,0.00
17.00,630.00,75.00,90.00,20.00,75.00,0.00,0.00
18.00,670.00,75.00,90.00,20.00,75.00,0.00,0.00
19.00,670.00,80.00,90.00,20.00,78.75,0.00,0.00
20.00,720.00,85.00,95.00,20.00,80.00,0.00,0.00
21.00,805.00,85.00,95.00,20.00,80.00,0.00,0.00
22.00,855.00,95.00,100.00,25.00,85.00,0.00,0.00
23.00,885.00,105.00,105.00,25.00,95.00,0.00,0.00
24.00,915.00,115.00,110.00,25.00,95.00,0.00,0.00
25.00,925.00,120.00,120.00,25.00,105.00,0.00,0.00
26.00,925.00,120.00,125.00,30.00,110.00,0.00,0.00
27.00,975.00,120.00,135.00,30.00,115.00,0.00,0.00
28.00,1080.00,120.00,140.00,35.00,115.00,0.00,0.00
29.00,1148.75,130.00,145.00,35.00,125.00,0.00,0.00
30.00,1215.00,140.00,150.00,35.00,125.00,0.00,0.00
31.00,1290.00,155.00,155.00,40.00,135.00,0.00,0.00
32.00,1285.00,165.00,165.00,40.00,145.00,0.00,0.00
33.00,1255.00,170.00,175.00,40.00,155.00,0.00,0.00
34.00,1240.00,170.00,190.00,45.00,160.00,0.00,0.00
35.00,1295.00,165.00,195.00,45.00,160.00,0.00,0.00
36.00,1345.00,160.00,200.00,50.00,165.00,0.00,0.00
37.00,1340.00,165.00,205.00,50.00,165.00,0.00,0.00
38.00,1365.00,170.00,200.00,50.00,165.00,0.00,0.00
39.00,1390.00,175.00,200.00,50.00,170.00,0.00,0.00
40.00,1315.00,180.00,205.00,50.00,175.00,0.00,0.00
41.00,1310.00,175.00,215.00,50.00,175.00,0.00,0.00
42.00,1355.00,170.00,215.00,55.00,170.00,0.00,0.00
43.00,1375.00,170.00,215.00,55.00,175.00,0.00,0.00
44.00,1390.00,170.00,215.00,55.00,175.00,0.00,0.00
45.00,1385.00,175.00,210.00,55.00,175.00,0.00,0.00
46.00,1400.00,180.00,210.00,50.00,175.00,0.00,0.00
47.00,1360.00,180.00,215.00,55.00,180.00,0.00,0.00
48.00,1375.00,180.00,220.00,55.00,180.00,0.00,0.00
49.00,1425.00,180.00,220.00,55.00,180.00,0.00,0.00
50.00,1490.00,180.00,220.00,55.00,180.00,0.00,0.00
51.00,1520.00,185.00,220.00,55.00,185.00,0.00,0.00
52.00,1488.75,195.00,220.00,55.00,185.00,0.00,0.00
