timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,360.00,64.88,60.00,0.00,0.00,0.00,0.00
1.00,430.00,60.00,50.00,0.00,0.00,0.00,0.00
2.00,515.00,50.00,49.88,0.00,0.00,0.00,0.00
3.00,585.00,45.00,49.88,0.00,0.00,0.00,0.00
4.00,644.88,39.88,45.00,0.00,0.00,0.00,0.00
5.00,714.88,35.00,45.00,0.00,9.88,0.00,0.00
6.00,805.00,35.00,40.00,0.00,10.00,0.00,0.00
7.00,889.88,35.00,40.00,0.00,15.00,0.00,0.00
8.00,945.00,45.00,35.00,0.00,20.00,0.00,0.00
9.00,974.62,54.88,30.00,0.00,25.00,0.00,0.00
10.00,1014.75,60.00,29.88,0.00,29.88,0.00,0.00
11.00,1035.00,74.88,25.00,0.00,30.00,0.00,0.00
12.00,1044.88,85.00,20.00,0.00,30.00,0.00,0.00
13.00,1079.88,94.88,25.00,0.00,40.00,0.00,0.00
14.00,1090.00,109.88,25.00,0.00,45.00,0.00,0.00
15.00,1124.62,115.00,30.00,0.00,44.88,0.00,0.00
16.00,1114.75,129.88,34.88,0.00,50.00,0.00,0.00
17.00,1130.00,145.00,35.00,0.00,50.00,0.00,0.00
18.00,1189.75,159.88,44.88,0.00,49.88,0.00,0.00
19.00,1194.88,169.75,45.00,0.00,50.00,0.00,0.00
20.00,1255.00,184.88,50.00,0.00,45.00,0.00,0.00
21.00,1350.00,185.00,55.00,0.00,55.00,0.00,0.00
22.00,1435.00,189.88,60.00,0.00,45.00,0.00,0.00
23.00,1504.88,180.00,70.00,0.00,60.00,0.00,0.00
24.00,1569.88,180.00,74.88,0.00,60.00,0.00,0.00
25.00,1610.00,190.00,80.00,0.00,65.00,0.00,0.00
26.00,1655.00,199.88,80.00,0.00,65.00,0.00,0.00
27.00,1720.00,219.88,89.88,0.00,79.88,0.00,0.00
28.00,1859.75,230.00,89.88,0.00,75.00,0.00,0.00
29.00,1949.88,235.00,89.88,0.00,85.00,0.00,0.00
30.00,2054.88,245.00,99.88,0.00,89.88,0.00,0.00
31.00,2174.88,235.00,104.88,0.00,85.00,0.00,0.00
32.00,2250.00,249.88,110.00,0.00,99.88,0.00,0.00
33.00,2269.75,260.00,115.00,0.00,109.88,0.00,0.00
34.00,2295.00,284.62,114.88,0.00,105.00,0.00,0.00
35.00,2374.88,309.75,124.88,0.00,119.88,0.00,0.00
36.00,2439.88,314.88,129.75,0.00,115.00,0.00,0.00
37.00,2454.75,309.88,125.00,0.00,130.00,0.00,0.00
38.00,2495.00,334.75,140.00,0.00,140.00,0.00,0.00
39.00,2539.88,365.00,144.88,5.00,134.88,0.00,0.00
40.00,2499.00,369.88,144.88,5.00,135.00,0.00,0.00
41.00,2514.88,404.75,159.88,4.88,140.00,0.00,0.00
42.00,2564.50,409.88,160.00,5.00,145.00,0.00,0.00
43.00,2609.88,429.88,165.00,5.00,149.88,0.00,0.00
44.00,2634.75,445.00,165.00,5.00,144.88,0.00,0.00
45.00,2639.75,449.88,184.88,5.00,144.88,0.00,0.00
46.00,2650.00,454.75,205.00,5.00,150.00,0.00,0.00
47.00,2630.00,434.88,214.88,5.00,159.88,0.00,0.00
48.00,2634.88,455.00,224.75,5.00,149.88,0.00,0.00
49.00,2719.88,464.75,229.88,5.00,154.88,0.00,0.00
50.00,2789.75,455.00,240.00,9.88,159.88,0.00,0.00
51.00,2814.88,480.00,240.00,9.88,154.75,0.00,0.00
52.00,2814.12,479.88,244.88,5.00,154.88,0.00,0.00
53.00,2814.88,479.88,245.00,5.00,165.00,0.00,0.00
54.00,2784.75,504.50,254.88,10.00,155.00,0.00,0.00
55.00,2844.88,490.00,259.88,10.00,165.00,0.00,0.00
56.00,2859.88,480.00,265.00,10.00,169.88,0.00,0.00
57.00,2889.75,490.00,274.63,10.00,169.88,0.00,0.00
58.00,2889.88,504.88,254.88,10.00,179.75,0.00,0.00
59.00,2880.00,505.00,250.00,10.00,174.88,0.00,0.00
60.00,2805.00,509.75,269.75,9.88,179.88,0.00,0.00
61.00,2715.00,510.00,264.88,10.00,179.88,0.00,0.00
62.00,2729.62,524.88,270.00,10.00,165.00,0.00,0.00
63.00,2789.88,515.00,260.00,10.00,175.00,0.00,0.00
64.00,2835.00,534.88,265.00,10.00,165.00,0.00,0.00
65.00,2849.75,534.50,264.88,10.00,170.00,0.00,0.00
66.00,2844.88,529.88,280.00,15.00,179.75,0.00,0.00
67.00,2794.88,519.88,289.88,10.00,169.88,0.00,0.00
68.00,2744.88,520.00,274.88,14.88,165.00,0.00,0.00
69.00,2710.00,515.00,285.00,14.88,169.88,0.00,0.00
70.00,2714.50,514.88,295.00,10.00,175.00,0.00,0.00
71.00,2664.75,529.88,295.00,10.00,175.00,0.00,0.00
72.00,2645.00,519.75,290.00,15.00,174.88,0.00,0.00
73.00,2599.75,524.88,299.75,15.00,165.00,0.00,0.00
74.00,2529.88,510.00,294.88,10.00,164.88,0.00,0.00
75.00,2454.88,490.00,295.00,10.00,170.00,0.00,0.00
76.00,2414.25,504.62,299.50,15.00,159.88,0.00,0.00
77.00,2399.25,489.88,295.00,10.00,154.88,0.00,0.00
78.00,2359.50,480.00,280.00,10.00,160.00,0.00,0.00
79.00,2344.88,479.88,275.00,10.00,144.88,0.00,0.00
80.00,2324.62,464.75,275.00,14.88,145.00,0.00,0.00
81.00,2254.75,464.62,285.00,10.00,139.88,0.00,0.00
