,all_distances,accepted_distances,all_alphas,accepted_alphas,epsilon_trace
361,0.5330815354339212,0.5330815354339212,1.0989984916980358,1.0989984916980358,0.8628684639315408
362,0.5395556348649769,0.5395556348649769,1.0754271994688576,1.0754271994688576,0.8628684639315408
363,0.5394716299371355,0.5394716299371355,0.5700775825949398,,0.8628684639315408
364,0.5453643775822066,0.5453643775822066,0.7806551845897377,0.7806551845897377,0.8628684639315408
365,0.5390171838058733,0.5390171838058733,1.0135439449812447,1.0135439449812447,0.8628684639315408
366,0.5359303553150944,0.5359303553150944,1.014307765453786,1.014307765453786,0.8628684639315408
367,0.5288999873614064,0.5288999873614064,1.0301359848924765,1.0301359848924765,0.8628684639315408
368,0.5421471991964876,0.5421471991964876,0.7356374669009992,0.7356374669009992,0.8628684639315408
369,0.5422421535765213,0.5422421535765213,1.039646618719921,1.039646618719921,0.8628684639315408
370,0.5227933901578629,0.5227933901578629,1.1471441435639667,1.1471441435639667,0.8628684639315408
371,0.5226125266702536,0.5226125266702536,0.9220536515325881,0.9220536515325881,0.8628684639315408
372,0.5294676099687864,0.5294676099687864,0.9938656869759435,0.9938656869759435,0.8628684639315408
373,0.5250150624131598,0.5250150624131598,0.8665739956182471,0.8665739956182471,0.8628684639315408
374,0.5213634838434397,0.5213634838434397,1.9098755060360029,1.9098755060360029,0.8628684639315408
375,0.5164285182473674,0.5164285182473674,0.006481737690641367,,0.8628684639315408
376,0.5273113618754214,0.5273113618754214,1.064515637266715,1.064515637266715,0.8628684639315408
377,0.5183089480095505,0.5183089480095505,0.972706703255144,0.972706703255144,0.8628684639315408
378,0.51416677627554,0.51416677627554,0.9434373484345986,0.9434373484345986,0.8628684639315408
379,0.5171690836458552,0.5171690836458552,1.2372946611726474,1.2372946611726474,0.8628684639315408
380,0.5270042814941011,0.5270042814941011,1.7991608303672846,1.7991608303672846,0.8628684639315408
381,0.527353773672102,0.527353773672102,0.8997839948942293,0.8997839948942293,0.8628684639315408
382,0.5287773007336977,0.5287773007336977,1.1019305595795066,1.1019305595795066,0.8628684639315408
383,0.5258030476674149,0.5258030476674149,0.9549383837575578,0.9549383837575578,0.8628684639315408
384,0.5266194246292063,0.5266194246292063,0.9988127940090759,0.9988127940090759,0.8628684639315408
385,0.5143173459235105,0.5143173459235105,0.5898386135404773,,0.8628684639315408
386,0.5235520520514952,0.5235520520514952,0.9547470901493058,0.9547470901493058,0.8628684639315408
387,0.5386784275935232,0.5386784275935232,0.9543860865389044,0.9543860865389044,0.8628684639315408
388,0.5342191079266555,0.5342191079266555,0.9496681556655187,0.9496681556655187,0.8628684639315408
389,0.5323042192553352,0.5323042192553352,0.7797518205775865,,0.8628684639315408
390,0.517287596641938,0.517287596641938,0.9901166467047586,0.9901166467047586,0.8628684639315408
391,0.5331847729273769,0.5331847729273769,0.6009839741034891,0.6009839741034891,0.8628684639315408
392,0.520108365423789,0.520108365423789,0.23914519934450684,,0.8628684639315408
393,0.5170556865564455,0.5170556865564455,1.0998858163906036,1.0998858163906036,0.8628684639315408
394,0.5284862802500797,0.5284862802500797,1.0200138322534997,1.0200138322534997,0.8628684639315408
395,0.523221084345137,0.523221084345137,0.7948726731698588,0.7948726731698588,0.8628684639315408
396,0.5200198733457518,0.5200198733457518,1.0040135403914627,1.0040135403914627,0.8628684639315408
397,0.5338898809047571,0.5338898809047571,0.9972168695743303,0.9972168695743303,0.8628684639315408
398,0.5288630208055465,0.5288630208055465,0.9124815283153432,0.9124815283153432,0.8628684639315408
399,0.5308582260829516,0.5308582260829516,0.9868476058283696,0.9868476058283696,0.8628684639315408
400,0.5317341051271541,0.5317341051271541,1.0021321295602232,1.0021321295602232,0.8628684639315408
401,0.5369947542737906,0.5369947542737906,0.9609695683398798,0.9609695683398798,0.8628684639315408
402,0.5211494486024724,0.5211494486024724,1.0379742941122923,1.0379742941122923,0.8628684639315408
403,0.5365134267713436,0.5365134267713436,0.921303027268448,0.921303027268448,0.8628684639315408
404,0.5406490438926946,0.5406490438926946,0.9103310028916874,0.9103310028916874,0.8628684639315408
405,0.5360076008537901,0.5360076008537901,1.1997355744424032,1.1997355744424032,0.8628684639315408
406,0.5331315397881771,0.5331315397881771,0.9358036614516715,0.9358036614516715,0.8628684639315408
407,0.5270696707530533,0.5270696707530533,1.0739228621648615,1.0739228621648615,0.8628684639315408
408,0.541566659506398,0.541566659506398,0.6157812370034167,0.6157812370034167,0.8628684639315408
409,0.5314850334865929,0.5314850334865929,0.7391853846118267,0.7391853846118267,0.8628684639315408
410,0.5391273277886539,0.5391273277886539,1.0046501348502734,1.0046501348502734,0.8628684639315408
411,0.537433031168754,0.537433031168754,0.9376735953644297,0.9376735953644297,0.8628684639315408
412,0.5284363799173959,0.5284363799173959,1.0109997291360038,1.0109997291360038,0.8628684639315408
413,0.5369114282922638,0.5369114282922638,1.0133505534063885,1.0133505534063885,0.8628684639315408
414,0.5389837400541159,0.5389837400541159,1.134452758517808,1.134452758517808,0.8628684639315408
415,0.5340484867343802,0.5340484867343802,0.09086236252378865,,0.8628684639315408
416,0.5501959085209751,0.5501959085209751,0.9772497769141074,0.9772497769141074,0.8628684639315408
417,0.538189687199203,0.538189687199203,0.943212610496112,0.943212610496112,0.8628684639315408
418,0.5458264192373441,0.5458264192373441,1.0095824414403691,1.0095824414403691,0.8628684639315408
419,0.5466978520113616,0.5466978520113616,0.9878282428131189,0.9878282428131189,0.8628684639315408
420,0.544776752111646,0.544776752111646,0.9324073927764798,0.9324073927764798,0.8628684639315408
421,0.5406525112796993,0.5406525112796993,1.116497526320384,1.116497526320384,0.8628684639315408
422,0.5328563167348686,0.5328563167348686,0.9637476628452807,0.9637476628452807,0.8628684639315408
423,0.5216922896780445,0.5216922896780445,0.9349819658173573,0.9349819658173573,0.8628684639315408
424,0.5353286151494201,0.5353286151494201,1.1666024649908928,1.1666024649908928,0.8628684639315408
