timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,330.00,80.00,80.00,0.00,5.00,0.00,0.00
1.00,385.00,80.00,75.00,0.00,10.00,0.00,0.00
2.00,465.00,85.00,75.00,0.00,10.00,0.00,0.00
3.00,525.00,90.00,75.00,0.00,15.00,0.00,0.00
4.00,565.00,100.00,70.00,0.00,20.00,0.00,0.00
5.00,625.00,110.00,70.00,0.00,25.00,0.00,0.00
6.00,710.00,120.00,65.00,0.00,25.00,0.00,0.00
7.00,782.50,135.00,65.00,0.00,30.00,0.00,0.00
8.00,827.50,150.00,60.00,5.00,40.00,0.00,0.00
9.00,855.00,165.00,60.00,5.00,40.00,0.00,0.00
10.00,895.00,180.00,60.00,5.00,45.00,0.00,0.00
11.00,927.50,200.00,60.00,5.00,50.00,0.00,0.00
12.00,945.00,215.00,60.00,0.00,50.00,0.00,0.00
13.00,960.00,235.00,65.00,5.00,55.00,0.00,0.00
14.00,972.50,250.00,65.00,5.00,60.00,0.00,0.00
15.00,990.00,265.00,70.00,2.50,60.00,0.00,0.00
16.00,985.00,280.00,80.00,5.00,60.00,0.00,0.00
17.00,1022.50,290.00,80.00,0.00,65.00,0.00,0.00
18.00,1065.00,305.00,90.00,5.00,65.00,0.00,0.00
19.00,1075.00,315.00,95.00,5.00,70.00,0.00,0.00
20.00,1142.50,330.00,105.00,5.00,75.00,0.00,0.00
21.00,1230.00,345.00,110.00,5.00,75.00,0.00,0.00
22.00,1287.50,360.00,120.00,5.00,75.00,0.00,0.00
23.00,1345.00,375.00,125.00,5.00,80.00,0.00,0.00
24.00,1392.50,390.00,135.00,5.00,85.00,0.00,0.00
25.00,1427.50,410.00,140.00,5.00,90.00,0.00,0.00
26.00,1462.50,425.00,150.00,5.00,90.00,0.00,0.00
27.00,1535.00,435.00,155.00,10.00,95.00,0.00,0.00
28.00,1657.50,455.00,165.00,10.00,100.00,0.00,0.00
29.00,1745.00,475.00,170.00,10.00,105.00,0.00,0.00
30.00,1840.00,490.00,180.00,10.00,110.00,0.00,0.00
