timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,315.00,70.00,70.00,0.00,0.00,0.00,0.00
1.00,360.00,70.00,70.00,0.00,0.00,0.00,0.00
2.00,425.00,75.00,70.00,0.00,5.00,0.00,0.00
3.00,475.00,75.00,65.00,0.00,5.00,0.00,0.00
4.00,504.50,85.00,60.00,0.00,10.00,0.00,0.00
5.00,555.00,95.00,55.00,0.00,15.00,0.00,0.00
6.00,625.00,104.50,55.00,0.00,15.00,0.00,0.00
7.00,690.00,115.00,50.00,0.00,20.00,0.00,0.00
8.00,725.00,120.00,49.50,0.00,24.50,0.00,0.00
9.00,735.00,130.00,45.00,0.00,30.00,0.00,0.00
10.00,765.00,150.00,45.00,0.00,30.00,0.00,0.00
11.00,789.50,165.00,40.00,0.00,34.50,0.00,0.00
12.00,790.00,179.50,40.00,0.00,35.00,0.00,0.00
13.00,800.00,190.00,45.00,0.00,40.00,0.00,0.00
14.00,804.50,205.00,45.00,0.00,39.50,0.00,0.00
15.00,820.00,220.00,50.00,0.00,40.00,0.00,0.00
16.00,815.00,240.00,55.00,0.00,40.00,0.00,0.00
17.00,844.50,250.00,60.00,0.00,50.00,0.00,0.00
18.00,885.00,260.00,65.00,0.00,45.00,0.00,0.00
19.00,885.00,270.00,70.00,0.00,55.00,0.00,0.00
20.00,950.00,285.00,79.50,0.00,50.00,0.00,0.00
21.00,1045.00,295.00,85.00,0.00,55.00,0.00,0.00
22.00,1104.50,305.00,90.00,0.00,55.00,0.00,0.00
23.00,1150.00,325.00,99.50,0.00,60.00,0.00,0.00
24.00,1195.00,339.50,100.00,0.00,60.00,0.00,0.00
25.00,1224.00,355.00,105.00,0.00,70.00,0.00,0.00
26.00,1245.00,365.00,115.00,0.00,70.00,0.00,0.00
27.00,1294.50,379.50,115.00,5.00,70.00,0.00,0.00
28.00,1389.50,390.00,125.00,0.00,75.00,0.00,0.00
29.00,1485.00,409.50,130.00,0.00,85.00,0.00,0.00
30.00,1585.00,420.00,140.00,5.00,85.00,0.00,0.00
31.00,1679.50,445.00,145.00,5.00,95.00,0.00,0.00
32.00,1705.00,465.00,155.00,5.00,95.00,0.00,0.00
33.00,1675.00,485.00,155.00,5.00,99.50,0.00,0.00
34.00,1684.50,510.00,160.00,5.00,105.00,0.00,0.00
35.00,1749.00,525.00,175.00,5.00,105.00,0.00,0.00
36.00,1790.00,544.50,184.50,5.00,110.00,0.00,0.00
37.00,1810.00,555.00,190.00,5.00,120.00,0.00,0.00
38.00,1843.50,589.50,195.00,5.00,125.00,0.00,0.00
39.00,1875.00,605.00,200.00,5.00,120.00,0.00,0.00
40.00,1795.00,625.00,210.00,10.00,125.00,0.00,0.00
41.00,1799.50,645.00,215.00,10.00,129.50,0.00,0.00
42.00,1850.00,665.00,224.50,10.00,130.00,0.00,0.00
43.00,1885.00,679.50,234.50,10.00,135.00,0.00,0.00
44.00,1915.00,695.00,240.00,10.00,135.00,0.00,0.00
45.00,1894.50,699.50,250.00,10.00,140.00,0.00,0.00
46.00,1945.00,714.50,255.00,10.00,135.00,0.00,0.00
47.00,1905.00,725.00,270.00,10.00,140.00,0.00,0.00
48.00,1914.50,745.00,275.00,10.00,140.00,0.00,0.00
49.00,1979.50,760.00,285.00,10.00,144.50,0.00,0.00
50.00,2059.50,765.00,299.50,15.00,149.50,0.00,0.00
51.00,2070.00,784.50,310.00,15.00,145.00,0.00,0.00
52.00,2074.50,790.00,315.00,15.00,145.00,0.00,0.00
53.00,2050.00,795.00,320.00,20.00,155.00,0.00,0.00
54.00,2004.50,805.00,334.50,19.50,155.00,0.00,0.00
55.00,2059.50,810.00,335.00,20.00,155.00,0.00,0.00
56.00,2054.50,810.00,335.00,20.00,160.00,0.00,0.00
57.00,2065.00,815.00,340.00,20.00,155.00,0.00,0.00
58.00,2045.00,820.00,345.00,20.00,155.00,0.00,0.00
59.00,2034.50,835.00,345.00,20.00,160.00,0.00,0.00
60.00,1989.50,834.50,354.50,20.00,160.00,0.00,0.00
61.00,1909.50,839.50,354.50,20.00,160.00,0.00,0.00
62.00,1919.50,834.50,360.00,20.00,155.00,0.00,0.00
63.00,1984.00,834.50,360.00,20.00,159.50,0.00,0.00
64.00,2029.50,830.00,365.00,25.00,160.00,0.00,0.00
65.00,2059.00,840.00,369.50,20.00,155.00,0.00,0.00
66.00,2064.50,845.00,375.00,20.00,164.50,0.00,0.00
67.00,2033.50,854.50,375.00,25.00,160.00,0.00,0.00
68.00,1960.00,859.50,384.00,20.00,169.50,0.00,0.00
69.00,1948.00,855.00,374.50,20.00,159.50,0.00,0.00
70.00,1905.00,855.00,380.00,25.00,159.50,0.00,0.00
71.00,1894.50,850.00,384.50,20.00,154.50,0.00,0.00
72.00,1870.00,840.00,374.50,25.00,160.00,0.00,0.00
73.00,1869.00,835.00,375.00,25.00,154.50,0.00,0.00
74.00,1804.00,825.00,379.50,25.00,150.00,0.00,0.00
75.00,1728.50,819.50,370.00,25.00,154.50,0.00,0.00
76.00,1720.00,814.00,380.00,25.00,155.00,0.00,0.00
77.00,1719.50,800.00,375.00,29.50,145.00,0.00,0.00
78.00,1705.00,799.50,375.00,25.00,135.00,0.00,0.00
79.00,1680.00,785.00,370.00,29.50,145.00,0.00,0.00
80.00,1655.00,779.50,374.50,25.00,140.00,0.00,0.00
81.00,1600.00,775.00,370.00,25.00,145.00,0.00,0.00
82.00,1544.00,770.00,365.00,25.00,135.00,0.00,0.00
83.00,1484.00,765.00,365.00,25.00,130.00,0.00,0.00
84.00,1460.00,765.00,370.00,25.00,130.00,0.00,0.00
85.00,1465.00,724.50,354.50,25.00,129.50,0.00,0.00
86.00,1474.00,705.00,355.00,25.00,125.00,0.00,0.00
87.00,1474.50,699.50,350.00,25.00,124.50,0.00,0.00
88.00,1419.50,690.00,350.00,25.00,125.00,0.00,0.00
89.00,1355.00,680.00,345.00,25.00,115.00,0.00,0.00
90.00,1324.50,670.00,334.50,25.00,120.00,0.00,0.00
91.00,1310.00,659.50,329.50,25.00,120.00,0.00,0.00
92.00,1269.50,649.50,330.00,24.50,114.50,0.00,0.00
