timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,265.00,45.00,70.00,5.00,5.00,0.00,0.00
1.00,300.00,40.00,70.00,10.00,15.00,0.00,0.00
2.00,355.00,35.00,65.00,15.00,20.00,0.00,0.00
3.00,390.00,35.00,55.00,15.00,25.00,0.00,0.00
4.00,400.00,40.00,50.00,10.00,30.00,0.00,0.00
5.00,440.00,40.00,50.00,10.00,35.00,0.00,0.00
6.00,495.00,45.00,50.00,10.00,35.00,0.00,0.00
7.00,545.00,50.00,55.00,10.00,45.00,0.00,0.00
8.00,570.00,55.00,55.00,10.00,45.00,0.00,0.00
9.00,565.00,60.00,60.00,10.00,50.00,0.00,0.00
10.00,585.00,65.00,65.00,10.00,55.00,0.00,0.00
11.00,585.00,65.00,70.00,10.00,60.00,0.00,0.00
12.00,580.00,65.00,75.00,15.00,60.00,0.00,0.00
13.00,584.50,65.00,80.00,15.00,65.00,0.00,0.00
14.00,580.00,60.00,80.00,15.00,60.00,0.00,0.00
15.00,595.00,65.00,80.00,15.00,65.00,0.00,0.00
16.00,585.00,65.00,80.00,15.00,65.00,0.00,0.00
17.00,605.00,65.00,80.00,15.00,65.00,0.00,0.00
18.00,645.00,65.00,80.00,15.00,65.00,0.00,0.00
19.00,645.00,70.00,80.00,15.00,65.00,0.00,0.00
20.00,700.00,70.00,80.00,15.00,70.00,0.00,0.00
21.00,780.00,75.00,85.00,15.00,70.00,0.00,0.00
22.00,825.00,80.00,85.00,15.00,75.00,0.00,0.00
23.00,855.00,90.00,90.00,15.00,80.00,0.00,0.00
24.00,880.00,100.00,95.00,20.00,85.00,0.00,0.00
25.00,895.00,105.00,105.00,20.00,90.00,0.00,0.00
26.00,895.00,105.00,115.00,20.00,95.00,0.00,0.00
27.00,940.00,105.00,120.00,25.00,100.00,0.00,0.00
28.00,1045.00,105.00,125.00,25.00,100.00,0.00,0.00
29.00,1115.00,115.00,130.00,25.00,110.00,0.00,0.00
30.00,1180.00,125.00,130.00,30.00,110.00,0.00,0.00
31.00,1250.00,140.00,140.00,30.00,120.00,0.00,0.00
32.00,1245.00,150.00,150.00,30.00,130.00,0.00,0.00
33.00,1215.00,155.00,160.00,30.00,140.00,0.00,0.00
34.00,1200.00,155.00,170.00,35.00,145.00,0.00,0.00
35.00,1260.00,145.00,180.00,35.00,145.00,0.00,0.00
36.00,1305.00,145.00,185.00,40.00,150.00,0.00,0.00
37.00,1305.00,150.00,185.00,40.00,150.00,0.00,0.00
38.00,1330.00,155.00,185.00,40.00,150.00,0.00,0.00
39.00,1355.00,160.00,185.00,40.00,155.00,0.00,0.00
40.00,1275.00,160.00,189.50,40.00,160.00,0.00,0.00
41.00,1275.00,160.00,190.00,40.00,160.00,0.00,0.00
42.00,1315.00,150.00,195.00,45.00,155.00,0.00,0.00
43.00,1335.00,150.00,195.00,45.00,160.00,0.00,0.00
44.00,1350.00,155.00,195.00,45.00,155.00,0.00,0.00
45.00,1345.00,160.00,195.00,45.00,160.00,0.00,0.00
46.00,1360.00,160.00,195.00,45.00,160.00,0.00,0.00
47.00,1320.00,165.00,195.00,40.00,160.00,0.00,0.00
48.00,1330.00,165.00,195.00,45.00,160.00,0.00,0.00
49.00,1385.00,160.00,200.00,45.00,165.00,0.00,0.00
50.00,1450.00,160.00,200.00,45.00,160.00,0.00,0.00
51.00,1480.00,165.00,200.00,45.00,165.00,0.00,0.00
52.00,1440.00,180.00,200.00,45.00,170.00,0.00,0.00
53.00,1420.00,180.00,205.00,45.00,170.00,0.00,0.00
54.00,1360.00,175.00,215.00,45.00,175.00,0.00,0.00
55.00,1405.00,170.00,220.00,45.00,170.00,0.00,0.00
56.00,1410.00,165.00,215.00,50.00,175.00,0.00,0.00
57.00,1420.00,165.00,215.00,50.00,170.00,0.00,0.00
58.00,1420.00,170.00,210.00,50.00,170.00,0.00,0.00
59.00,1410.00,170.00,210.00,50.00,170.00,0.00,0.00
60.00,1359.50,170.00,210.00,45.00,170.00,0.00,0.00
61.00,1275.00,170.00,215.00,45.00,170.00,0.00,0.00
62.00,1280.00,160.00,215.00,45.00,165.00,0.00,0.00
63.00,1360.00,150.00,210.00,50.00,165.00,0.00,0.00
64.00,1410.00,150.00,200.00,45.00,160.00,0.00,0.00
65.00,1430.00,160.00,195.00,45.00,160.00,0.00,0.00
66.00,1430.00,170.00,195.00,45.00,160.00,0.00,0.00
67.00,1385.00,175.00,200.00,45.00,165.00,0.00,0.00
68.00,1310.00,175.00,210.00,45.00,170.00,0.00,0.00
69.00,1280.00,165.00,210.00,45.00,170.00,0.00,0.00
