timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,360.00,100.00,85.00,5.00,20.00,0.00,0.00
1.00,425.00,105.00,90.00,5.00,30.00,0.00,0.00
2.00,510.00,115.00,90.00,10.00,35.00,0.00,0.00
3.00,585.00,125.00,95.00,10.00,41.00,0.00,0.00
4.00,640.00,140.00,95.00,10.00,50.00,0.00,0.00
5.00,710.00,155.00,95.00,10.00,55.00,0.00,0.00
6.00,800.00,171.00,95.00,15.00,61.00,0.00,0.00
7.00,886.00,190.00,95.00,15.00,70.00,0.00,0.00
8.00,951.00,210.00,95.00,15.00,75.00,0.00,0.00
9.00,1000.00,230.00,95.00,15.00,80.00,0.00,0.00
10.00,1050.00,250.00,95.00,15.00,85.00,0.00,0.00
11.00,1095.00,270.00,95.00,15.00,90.00,0.00,0.00
12.00,1115.00,290.00,100.00,15.00,95.00,0.00,0.00
13.00,1145.00,315.00,105.00,15.00,100.00,0.00,0.00
14.00,1170.00,336.00,110.00,15.00,100.00,0.00,0.00
15.00,1200.00,356.00,115.00,15.00,105.00,0.00,0.00
16.00,1205.00,380.00,120.00,15.00,105.00,0.00,0.00
17.00,1245.00,405.00,135.00,15.00,105.00,0.00,0.00
18.00,1305.00,425.00,145.00,15.00,110.00,0.00,0.00
19.00,1306.00,440.00,155.00,15.00,110.00,0.00,0.00
20.00,1370.00,461.00,165.00,15.00,115.00,0.00,0.00
21.00,1466.00,480.00,185.00,15.00,115.00,0.00,0.00
22.00,1545.00,505.00,195.00,20.00,125.00,0.00,0.00
23.00,1605.00,525.00,210.00,20.00,125.00,0.00,0.00
24.00,1660.00,545.00,221.00,20.00,135.00,0.00,0.00
25.00,1706.00,570.00,230.00,20.00,140.00,0.00,0.00
26.00,1755.00,590.00,245.00,25.00,140.00,0.00,0.00
27.00,1831.00,611.00,256.00,25.00,145.00,0.00,0.00
28.00,1966.00,630.00,271.00,25.00,160.00,0.00,0.00
29.00,2070.00,650.00,285.00,25.00,160.00,0.00,0.00
30.00,2180.00,675.00,305.00,30.00,170.00,0.00,0.00
31.00,2300.00,705.00,315.00,30.00,175.00,0.00,0.00
32.00,2355.00,726.00,330.00,30.00,185.00,0.00,0.00
33.00,2375.00,760.00,345.00,35.00,190.00,0.00,0.00
34.00,2410.00,785.00,360.00,30.00,195.00,0.00,0.00
35.00,2495.00,820.00,375.00,35.00,205.00,0.00,0.00
36.00,2590.00,851.00,391.00,35.00,210.00,0.00,0.00
37.00,2620.00,885.00,405.00,40.00,210.00,0.00,0.00
38.00,2675.00,920.00,420.00,40.00,220.00,0.00,0.00
39.00,2735.00,955.00,435.00,40.00,225.00,0.00,0.00
40.00,2686.00,980.00,455.00,40.00,226.00,0.00,0.00
41.00,2710.00,1015.00,480.00,45.00,225.00,0.00,0.00
42.00,2760.00,1055.00,490.00,40.00,230.00,0.00,0.00
43.00,2801.00,1066.00,505.00,45.00,230.00,0.00,0.00
44.00,2836.00,1091.00,525.00,45.00,235.00,0.00,0.00
45.00,2846.00,1105.00,541.00,45.00,231.00,0.00,0.00
46.00,2885.00,1140.00,555.00,51.00,240.00,0.00,0.00
47.00,2857.00,1156.00,575.00,50.00,235.00,0.00,0.00
48.00,2880.00,1180.00,601.00,50.00,240.00,0.00,0.00
49.00,2936.00,1200.00,620.00,55.00,245.00,0.00,0.00
50.00,3020.00,1211.00,645.00,55.00,245.00,0.00,0.00
51.00,3060.00,1230.00,665.00,55.00,250.00,0.00,0.00
52.00,3060.00,1250.00,681.00,60.00,245.00,0.00,0.00
