timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,320.00,75.00,75.00,0.00,0.00,0.00,0.00
1.00,369.00,75.00,70.00,0.00,5.00,0.00,0.00
2.00,440.00,75.00,70.00,0.00,5.00,0.00,0.00
3.00,490.00,85.00,69.00,0.00,10.00,0.00,0.00
4.00,525.00,90.00,65.00,0.00,15.00,0.00,0.00
5.00,579.00,100.00,60.00,0.00,15.00,0.00,0.00
6.00,654.00,110.00,55.00,0.00,20.00,0.00,0.00
7.00,710.00,120.00,55.00,0.00,25.00,0.00,0.00
8.00,749.00,130.00,55.00,0.00,30.00,0.00,0.00
9.00,770.00,145.00,50.00,0.00,30.00,0.00,0.00
10.00,799.00,160.00,50.00,0.00,35.00,0.00,0.00
11.00,824.00,175.00,50.00,0.00,40.00,0.00,0.00
12.00,819.00,195.00,50.00,0.00,40.00,0.00,0.00
13.00,830.00,210.00,50.00,0.00,45.00,0.00,0.00
14.00,835.00,225.00,55.00,0.00,45.00,0.00,0.00
15.00,854.00,230.00,55.00,0.00,50.00,0.00,0.00
16.00,850.00,250.00,65.00,0.00,45.00,0.00,0.00
17.00,875.00,265.00,65.00,0.00,55.00,0.00,0.00
18.00,919.00,275.00,75.00,0.00,50.00,0.00,0.00
19.00,925.00,290.00,79.00,0.00,60.00,0.00,0.00
20.00,984.00,305.00,85.00,0.00,60.00,0.00,0.00
21.00,1070.00,310.00,95.00,0.00,65.00,0.00,0.00
22.00,1145.00,325.00,100.00,0.00,64.00,0.00,0.00
23.00,1189.00,340.00,105.00,0.00,65.00,0.00,0.00
24.00,1230.00,355.00,110.00,4.00,70.00,0.00,0.00
25.00,1255.00,375.00,115.00,5.00,75.00,0.00,0.00
26.00,1279.00,390.00,125.00,5.00,75.00,0.00,0.00
27.00,1335.00,404.00,130.00,5.00,80.00,0.00,0.00
28.00,1454.00,420.00,140.00,5.00,85.00,0.00,0.00
29.00,1525.00,430.00,145.00,5.00,95.00,0.00,0.00
30.00,1625.00,450.00,155.00,5.00,95.00,0.00,0.00
31.00,1714.00,470.00,164.00,5.00,100.00,0.00,0.00
32.00,1740.00,490.00,170.00,5.00,105.00,0.00,0.00
33.00,1729.00,510.00,165.00,5.00,110.00,0.00,0.00
34.00,1745.00,535.00,185.00,5.00,115.00,0.00,0.00
35.00,1799.00,550.00,185.00,10.00,125.00,0.00,0.00
36.00,1845.00,575.00,195.00,5.00,120.00,0.00,0.00
37.00,1860.00,590.00,205.00,10.00,130.00,0.00,0.00
38.00,1894.00,615.00,210.00,10.00,135.00,0.00,0.00
39.00,1925.00,630.00,220.00,10.00,134.00,0.00,0.00
40.00,1865.00,655.00,225.00,10.00,135.00,0.00,0.00
