timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,340.00,90.00,115.00,35.00,40.00,0.00,0.00
1.00,385.00,85.00,115.00,40.00,45.00,0.00,0.00
2.00,440.00,80.00,115.00,45.00,60.00,0.00,0.00
3.00,480.00,80.00,110.00,45.00,70.00,0.00,0.00
4.00,495.00,90.00,105.00,45.00,75.00,0.00,0.00
5.00,530.00,90.00,100.00,40.00,80.00,0.00,0.00
6.00,595.00,100.00,105.00,40.00,85.25,0.00,0.00
7.00,645.00,105.00,110.00,40.00,95.00,0.00,0.00
8.00,670.00,115.00,115.00,40.00,100.00,0.00,0.00
9.00,670.00,125.00,120.00,40.00,110.00,0.00,0.00
10.00,690.25,125.00,130.00,40.00,110.00,0.00,0.00
11.00,695.00,125.00,135.00,45.00,115.00,0.00,0.00
12.00,685.25,125.25,140.00,50.00,120.00,0.00,0.00
13.00,695.00,125.00,145.00,50.00,125.00,0.00,0.00
14.00,690.00,120.25,145.00,50.00,120.00,0.00,0.00
15.00,705.00,120.00,145.00,50.00,125.00,0.00,0.00
16.00,695.00,120.00,145.00,50.00,125.00,0.00,0.00
17.00,720.00,125.00,145.00,50.00,125.00,0.00,0.00
18.00,760.00,125.00,145.00,50.00,125.00,0.00,0.00
19.00,755.00,130.00,145.00,50.00,125.00,0.00,0.00
20.00,810.00,135.00,145.00,50.00,130.00,0.00,0.00
21.00,895.00,140.00,150.00,50.00,135.00,0.00,0.00
22.00,945.25,150.00,155.00,50.00,140.00,0.00,0.00
23.00,985.00,160.25,160.00,55.00,145.00,0.00,0.00
24.00,1020.00,175.00,170.00,55.00,155.00,0.00,0.00
25.00,1035.00,180.00,180.00,60.00,160.00,0.00,0.00
26.00,1045.00,180.00,190.00,65.00,170.00,0.00,0.00
27.00,1090.00,180.00,200.00,65.00,175.00,0.00,0.00
28.00,1195.00,185.00,205.00,70.00,175.00,0.00,0.00
29.00,1265.00,190.00,210.00,70.00,185.00,0.00,0.00
30.00,1340.00,205.00,215.00,75.00,195.00,0.00,0.00
31.00,1420.00,220.00,225.00,75.00,200.00,0.00,0.00
32.00,1425.00,240.00,230.00,75.00,210.00,0.00,0.00
33.00,1400.00,245.00,245.00,80.00,220.00,0.00,0.00
34.00,1380.00,240.00,265.00,85.00,230.00,0.00,0.00
35.00,1435.00,240.00,275.00,90.00,235.00,0.00,0.00
36.00,1485.00,235.00,275.00,95.00,235.00,0.00,0.00
37.00,1480.00,240.00,280.00,95.00,235.00,0.00,0.00
38.00,1510.00,245.00,280.00,95.00,235.00,0.00,0.00
39.00,1535.00,250.00,280.00,95.00,240.00,0.00,0.00
40.00,1460.25,255.00,285.00,95.00,245.00,0.00,0.00
41.00,1460.00,250.00,290.00,95.00,245.00,0.00,0.00
42.00,1500.00,245.00,295.00,100.00,245.00,0.00,0.00
43.00,1520.00,245.00,295.00,100.00,250.00,0.00,0.00
44.00,1540.00,245.25,295.00,100.00,250.00,0.00,0.00
45.00,1530.00,255.00,290.00,95.00,250.00,0.00,0.00
46.00,1550.00,255.00,290.00,95.00,250.00,0.00,0.00
47.00,1510.00,255.25,295.00,95.00,255.00,0.00,0.00
48.00,1525.00,255.00,295.00,95.00,250.00,0.00,0.00
49.00,1575.00,250.25,300.00,95.00,255.00,0.00,0.00
50.00,1640.00,255.00,300.00,100.00,255.00,0.00,0.00
51.00,1675.00,260.00,300.00,100.00,255.00,0.00,0.00
52.00,1640.00,275.00,300.00,100.00,260.00,0.00,0.00
53.00,1620.00,280.00,310.00,100.00,265.00,0.00,0.00
54.00,1565.00,275.00,315.00,100.00,275.00,0.00,0.00
55.00,1605.00,265.00,320.00,100.00,265.00,0.00,0.00
56.00,1605.00,260.00,320.00,105.00,265.00,0.00,0.00
57.00,1625.00,260.25,310.25,105.00,260.00,0.00,0.00
58.00,1620.00,265.00,310.00,100.25,265.00,0.00,0.00
59.00,1610.00,270.00,310.00,100.00,260.25,0.00,0.00
60.00,1560.00,270.00,310.00,105.00,265.00,0.00,0.00
61.00,1475.00,265.00,310.00,100.00,265.00,0.00,0.00
62.00,1480.00,255.00,310.00,100.00,260.00,0.00,0.00
63.00,1560.00,245.00,310.25,105.00,255.00,0.00,0.00
64.00,1610.00,240.00,305.00,100.00,250.00,0.00,0.00
65.00,1630.00,255.00,295.25,100.00,255.00,0.00,0.00
66.00,1625.00,265.00,295.00,100.00,260.00,0.00,0.00
67.00,1585.00,270.00,300.00,95.00,255.00,0.00,0.00
68.00,1510.00,270.00,305.00,95.00,260.00,0.00,0.00
69.00,1480.00,265.00,310.00,100.00,265.00,0.00,0.00
70.00,1460.00,250.00,310.00,100.00,255.00,0.00,0.00
71.00,1435.00,245.00,310.00,105.00,250.00,0.00,0.00
72.00,1440.00,240.00,300.00,100.00,245.00,0.00,0.00
73.00,1415.00,235.00,295.00,100.00,240.25,0.00,0.00
74.00,1360.00,235.00,290.00,95.00,235.25,0.00,0.00
75.00,1295.00,230.00,285.00,95.00,235.00,0.00,0.00
76.00,1280.00,225.00,280.00,95.00,230.00,0.00,0.00
77.00,1290.00,215.00,275.00,90.00,225.00,0.00,0.00
78.00,1290.00,215.00,265.00,90.00,225.00,0.00,0.00
79.00,1280.00,210.00,260.00,85.00,215.00,0.00,0.00
80.00,1265.00,215.00,255.00,85.00,215.00,0.00,0.00
81.00,1200.00,210.00,255.00,85.00,210.00,0.00,0.00
82.00,1150.00,205.00,255.00,80.00,210.00,0.00,0.00
83.00,1120.00,200.00,250.00,80.00,205.00,0.00,0.00
84.00,1110.00,195.00,245.00,85.00,205.00,0.00,0.00
85.00,1110.00,185.00,240.00,80.00,195.00,0.00,0.00
86.00,1105.00,180.00,230.00,80.00,195.00,0.00,0.00
87.00,1115.00,185.00,225.00,75.00,190.00,0.00,0.00
88.00,1085.00,185.00,220.25,75.00,185.00,0.00,0.00
89.00,1020.00,185.00,220.00,75.00,185.00,0.00,0.00
90.00,990.00,180.00,220.00,75.00,185.00,0.00,0.00
91.00,960.00,175.00,215.00,70.00,180.00,0.00,0.00
92.00,930.00,165.00,215.00,70.00,175.25,0.00,0.00
