timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,240.00,35.00,60.00,0.00,0.00,0.00,0.00
1.00,270.00,25.00,50.00,5.00,5.00,0.00,0.00
2.00,325.00,20.00,45.00,5.00,10.00,0.00,0.00
3.00,355.00,20.00,40.00,5.00,15.00,0.00,0.00
4.00,370.00,25.00,35.00,5.00,20.00,0.00,0.00
5.00,404.95,25.00,30.00,0.00,20.00,0.00,0.00
6.00,460.00,30.00,35.00,0.00,25.00,0.00,0.00
7.00,505.00,34.95,35.00,0.00,25.00,0.00,0.00
8.00,525.00,40.00,40.00,0.00,35.00,0.00,0.00
9.00,525.00,40.00,44.95,0.00,35.00,0.00,0.00
10.00,545.00,45.00,50.00,5.00,35.00,0.00,0.00
11.00,545.00,45.00,55.00,5.00,40.00,0.00,0.00
12.00,540.00,45.00,59.95,5.00,45.00,0.00,0.00
13.00,545.00,45.00,60.00,5.00,44.95,0.00,0.00
14.00,540.00,45.00,60.00,5.00,45.00,0.00,0.00
15.00,555.00,45.00,60.00,5.00,45.00,0.00,0.00
16.00,540.00,45.00,60.00,5.00,45.00,0.00,0.00
17.00,565.00,45.00,60.00,5.00,45.00,0.00,0.00
18.00,610.00,45.00,60.00,5.00,50.00,0.00,0.00
19.00,600.00,50.00,60.00,5.00,45.00,0.00,0.00
20.00,655.00,55.00,60.00,5.00,50.00,0.00,0.00
21.00,735.00,55.00,65.00,5.00,50.00,0.00,0.00
22.00,780.00,60.00,65.00,5.00,55.00,0.00,0.00
23.00,800.00,69.95,65.00,10.00,60.00,0.00,0.00
24.00,824.95,75.00,70.00,10.00,65.00,0.00,0.00
25.00,840.00,85.00,80.00,10.00,70.00,0.00,0.00
26.00,845.00,80.00,89.95,10.00,79.95,0.00,0.00
27.00,890.00,80.00,95.00,10.00,75.00,0.00,0.00
28.00,1000.00,85.00,95.00,10.00,80.00,0.00,0.00
29.00,1060.00,90.00,105.00,15.00,85.00,0.00,0.00
30.00,1120.00,99.95,105.00,15.00,90.00,0.00,0.00
31.00,1185.00,110.00,110.00,15.00,95.00,0.00,0.00
