,date,rate,cumulative
0,0,15.606620803616524,15.606620803616524
1,1,11.118592208585996,26.72521301220252
2,2,15.050869311432148,41.77608232363467
3,3,18.166977188720132,59.9430595123548
4,4,19.553032022416126,79.49609153477093
5,5,18.76533484821792,98.26142638298884
6,6,16.058651048820437,114.32007743180928
7,7,12.25381921940776,126.57389665121704
8,8,8.337618818397658,134.9115154696147
9,9,5.058463623273894,139.9699790928886
10,10,2.7365192709744974,142.7064983638631
11,11,1.3200133883987917,144.02651175226188
12,12,0.5677461439166791,144.59425789617856
13,13,0.21773167668507654,144.81198957286364
14,14,0.07445187115754948,144.8864414440212
15,15,0.022699208147173522,144.90914065216836
16,16,0.006170508230127325,144.9153111603985
17,17,0.0014955464944534924,144.91680670689294
18,18,0.00032317731998432464,144.91712988421293
19,19,6.226394867780982e-05,144.9171921481616
20,20,1.0694975628666725e-05,144.91720284313723
21,21,1.637806292364985e-06,144.91720448094352
22,22,2.2360259777087776e-07,144.91720470454612
23,23,2.721537839533994e-08,144.9172047317615
24,24,2.9530440315284068e-09,144.91720473471455
25,25,2.856381797755603e-10,144.91720473500018
26,26,2.4641622076160274e-11,144.91720473502482
27,27,1.8758328224066645e-12,144.9172047350267
28,28,1.4210854715202004e-13,144.91720473502684
29,29,0.0,144.91720473502684
30,30,0.0,144.91720473502684
31,31,0.0,144.91720473502684
32,32,0.0,144.91720473502684
33,33,0.0,144.91720473502684
34,34,0.0,144.91720473502684
35,35,0.0,144.91720473502684
36,36,0.0,144.91720473502684
