,date,rate,cumulative
0,0,21.155232924784368,21.155232924784368
1,1,13.047790811289634,34.203023736074
2,2,20.01862290977808,54.22164664585208
3,3,30.070675773927498,84.29232241977958
4,4,44.22460541237409,128.51692783215367
5,5,63.679045912711985,192.19597374486565
6,6,89.77200893586817,281.9679826807338
7,7,123.90737797389477,405.8753606546286
8,8,167.4423179677308,573.3176786223594
9,9,221.53642141750197,794.8541000398614
10,10,286.97026730033735,1081.8243673401987
11,11,363.94900373699465,1445.7733710771934
12,12,451.9142564395461,1897.6876275167394
13,13,549.3933918945456,2447.081019411285
14,14,653.9171227146135,3100.9981421258985
15,15,762.0331811314609,3863.0313232573594
16,16,869.4346711742714,4732.465994431631
17,17,971.2072868010728,5703.673281232704
18,18,1062.181707199251,6765.854988431955
19,19,1137.3591209849146,7903.214109416869
20,20,1192.3625455417841,9095.576654958653
21,21,1223.8577763538124,10319.434431312466
22,22,1229.8878017993466,11549.322233111812
23,23,1210.0740651560882,12759.3962982679
24,24,1165.6557970500253,13925.052095317926
25,25,1099.361736739298,15024.413832057224
26,26,1015.1327036852672,16039.546535742491
27,27,917.7342314617235,16957.280767204214
28,28,812.3121505178569,17769.59291772207
29,29,703.948470849231,18473.541388571302
30,30,597.2699810982522,19070.811369669555
31,31,496.14931590663036,19566.960685576185
32,32,403.5208608881803,19970.481546464365
33,33,321.3153431968676,20291.796889661233
34,34,250.50062118992355,20542.297510851156
35,35,191.20445721100623,20733.501968062163
36,36,142.88908966265808,20876.39105772482
37,37,104.54709489273955,20980.93815261756
38,38,74.89221945192185,21055.830372069482
39,39,52.52586989524934,21108.35624196473
40,40,36.06796291136561,21144.424204876097
41,41,24.248326485580037,21168.672531361677
42,42,15.960765225274372,21184.63329658695
43,43,10.285784376173979,21194.919080963125
44,44,6.489823344458273,21201.408904307584
45,45,4.0090370712277945,21205.41794137881
46,46,2.4247054584011494,21207.842646837213
47,47,1.435785662557464,21209.27843249977
48,48,0.8323997111765493,21210.110832210947
49,49,0.4724826849778765,21210.583314895925
50,50,0.2625738810711482,21210.845888776996
51,51,0.14286596492456738,21210.98875474192
52,52,0.07610578031744808,21211.064860522238
53,53,0.03969338125534705,21211.104553903493
54,54,0.02026889694025158,21211.124822800433
55,55,0.01013336479809368,21211.13495616523
